material-L1,material-L2,phase,stream,idealStream,stratum,kgPerHhPerWk
Paper and cardboard,Other Recyclable Paper,1,recycling bin,recycling bin,rural £/££,0.21538461538461537
Paper and cardboard,Other Recyclable Paper,1,recycling bin,recycling bin,rural £££,0.5529411764705883
Paper and cardboard,Other Recyclable Paper,2,grey bin,recycling bin,urban £,0.23469387755102042
Paper and cardboard,Other Recyclable Paper,2,grey bin,recycling bin,urban ££,0.23684210526315788
Paper and cardboard,Other Recyclable Paper,2,grey bin,recycling bin,urban £££,0.17
Paper and cardboard,Other Recyclable Paper,2,grey bin,recycling bin,rural £/££,0.1183673469387755
Paper and cardboard,Other Recyclable Paper,2,grey bin,recycling bin,rural £££,0.3020408163265306
Paper and cardboard,Other Recyclable Paper,2,recycling bin,recycling bin,urban £,0.4020408163265306
Paper and cardboard,Other Recyclable Paper,2,recycling bin,recycling bin,urban ££,0.32105263157894737
Paper and cardboard,Other Recyclable Paper,2,recycling bin,recycling bin,urban £££,0.474
Paper and cardboard,Other Recyclable Paper,2,recycling bin,recycling bin,rural £/££,0.27346938775510204
Paper and cardboard,Other Recyclable Paper,2,recycling bin,recycling bin,rural £££,0.5265306122448979
Paper and cardboard,Non-recyclable Paper,1,grey bin,grey bin,urban £,0.308
Paper and cardboard,Non-recyclable Paper,1,grey bin,grey bin,urban ££,0.44054054054054054
Paper and cardboard,Non-recyclable Paper,1,grey bin,grey bin,urban £££,0.24255319148936172
Paper and cardboard,Non-recyclable Paper,1,grey bin,grey bin,rural £/££,0.20192307692307693
Paper and cardboard,Non-recyclable Paper,1,grey bin,grey bin,rural £££,0.25098039215686274
Paper and cardboard,Non-recyclable Paper,1,recycling bin,grey bin,urban £,0.038
Paper and cardboard,Non-recyclable Paper,1,recycling bin,grey bin,urban ££,0.016216216216216217
Paper and cardboard,Non-recyclable Paper,1,recycling bin,grey bin,urban £££,0.02340425531914894
Paper and cardboard,Non-recyclable Paper,1,recycling bin,grey bin,rural £/££,0.01730769230769231
Paper and cardboard,Non-recyclable Paper,1,recycling bin,grey bin,rural £££,0.047058823529411764
Paper and cardboard,Non-recyclable Paper,2,grey bin,grey bin,urban £,0.24693877551020407
Paper and cardboard,Non-recyclable Paper,2,grey bin,grey bin,urban ££,0.2657894736842105
Paper and cardboard,Non-recyclable Paper,2,grey bin,grey bin,urban £££,0.212
Paper and cardboard,Non-recyclable Paper,2,grey bin,grey bin,rural £/££,0.2306122448979592
Paper and cardboard,Non-recyclable Paper,2,grey bin,grey bin,rural £££,0.3122448979591837
Paper and cardboard,Non-recyclable Paper,2,recycling bin,grey bin,urban £,0.022448979591836737
Paper and cardboard,Non-recyclable Paper,2,recycling bin,grey bin,urban ££,0.002631578947368421
Paper and cardboard,Non-recyclable Paper,2,recycling bin,grey bin,urban £££,0.012
