region,year,material,management,tonnes
Glasgow City,2016,Chemical wastes,Recycled,39
South Ayrshire,2016,Soils,Other Diversion,0
Stirling,2016,"Metallic wastes, ferrous",Landfilled,0
Highland,2016,Chemical wastes,Recycled,9
East Lothian,2016,Chemical wastes,Other Diversion,25
South Ayrshire,2016,Soils,Recycled,0
Dumfries and Galloway,2016,Combustion wastes,Recycled,0
East Ayrshire,2016,Chemical wastes,Other Diversion,0
Stirling,2016,"Metallic wastes, ferrous",Recycled,0
Fife,2016,"Metallic wastes, ferrous",Landfilled,0
Inverclyde,2016,"Metallic wastes, ferrous",Other Diversion,0
Argyll and Bute,2016,Soils,Recycled,0
South Lanarkshire,2016,Health care and biological wastes,Recycled,0
Inverclyde,2016,Chemical wastes,Landfilled,0
Shetland Islands,2016,Soils,Recycled,0
South Ayrshire,2016,Combustion wastes,Recycled,0
Aberdeenshire,2016,"Metallic wastes, ferrous",Recycled,0
Aberdeenshire,2016,"Metallic wastes, ferrous",Other Diversion,0
Outer Hebrides,2016,Health care and biological wastes,Other Diversion,0
Clackmannanshire,2016,Chemical wastes,Landfilled,0
Clackmannanshire,2016,Health care and biological wastes,Other Diversion,0
South Ayrshire,2016,Chemical wastes,Recycled,0
Argyll and Bute,2016,Soils,Other Diversion,0
Perth and Kinross,2016,Chemical wastes,Other Diversion,0
South Lanarkshire,2016,Chemical wastes,Other Diversion,0
Clackmannanshire,2016,Health care and biological wastes,Recycled,0
Orkney Islands,2016,Chemical wastes,Recycled,0
City of Edinburgh,2016,Chemical wastes,Recycled,186
Clackmannanshire,2016,Chemical wastes,Other Diversion,0
South Lanarkshire,2016,Chemical wastes,Recycled,0
Outer Hebrides,2016,Soils,Recycled,0
Scottish Borders,2016,Soils,Recycled,0
Orkney Islands,2016,Chemical wastes,Landfilled,0
Stirling,2016,"Metallic wastes, ferrous",Other Diversion,0
Orkney Islands,2016,Used oils,Recycled,91
Outer Hebrides,2016,Chemical wastes,Other Diversion,0
South Lanarkshire,2016,Chemical wastes,Landfilled,0
Clackmannanshire,2016,Chemical wastes,Recycled,2
Moray,2016,"Metallic wastes, ferrous",Landfilled,0
Glasgow City,2016,Chemical wastes,Other Diversion,0
West Lothian,2016,Chemical wastes,Landfilled,0
Scottish Borders,2016,"Metallic wastes, ferrous",Other Diversion,0
North Ayrshire,2016,Chemical wastes,Landfilled,0
Inverclyde,2016,Chemical wastes,Other Diversion,0
Aberdeenshire,2016,Chemical wastes,Landfilled,0
South Ayrshire,2016,Health care and biological wastes,Landfilled,0
Highland,2016,Soils,Landfilled,0
North Ayrshire,2016,Chemical wastes,Recycled,78
Dumfries and Galloway,2016,Chemical wastes,Recycled,14
East Renfrewshire,2016,Chemical wastes,Recycled,0
West Dunbartonshire,2016,Used oils,Landfilled,0
East Dunbartonshire,2016,"Metallic wastes, ferrous",Other Diversion,0
West Dunbartonshire,2016,Discarded vehicles,Recycled,0
Orkney Islands,2016,Mixed and undifferentiated materials,Landfilled,0
South Lanarkshire,2016,Mixed and undifferentiated materials,Recycled,0
South Ayrshire,2016,Used oils,Landfilled,0
West Dunbartonshire,2016,Discarded vehicles,Landfilled,0
Stirling,2016,Mixed and undifferentiated materials,Recycled,289
West Dunbartonshire,2016,Mixed and undifferentiated materials,Landfilled,209
East Lothian,2016,Combustion wastes,Recycled,0
South Lanarkshire,2016,Mixed and undifferentiated materials,Other Diversion,0
East Renfrewshire,2016,Discarded vehicles,Recycled,0
Glasgow City,2016,Used oils,Other Diversion,0
Falkirk,2016,Used oils,Landfilled,0
Orkney Islands,2016,Mixed and undifferentiated materials,Other Diversion,0
Perth and Kinross,2016,Combustion wastes,Other Diversion,972
Orkney Islands,2016,Mixed and undifferentiated materials,Recycled,0
East Ayrshire,2016,Health care and biological wastes,Recycled,0
East Renfrewshire,2016,Mixed and undifferentiated materials,Other Diversion,492
Angus,2016,Health care and biological wastes,Other Diversion,0
East Renfrewshire,2016,Mixed and undifferentiated materials,Recycled,45
Angus,2016,Health care and biological wastes,Recycled,0
Falkirk,2016,Mixed and undifferentiated materials,Recycled,0
Highland,2016,Mixed and undifferentiated materials,Other Diversion,0
Clackmannanshire,2016,Combustion wastes,Recycled,0
Fife,2016,Mixed and undifferentiated materials,Other Diversion,0
Angus,2016,"Metallic wastes, ferrous",Other Diversion,0
West Lothian,2016,"Metallic wastes, ferrous",Other Diversion,0
Orkney Islands,2016,Discarded vehicles,Recycled,0
South Ayrshire,2016,Mixed and undifferentiated materials,Other Diversion,0
Midlothian,2016,Health care and biological wastes,Other Diversion,0
South Lanarkshire,2016,Mixed and undifferentiated materials,Landfilled,1086
North Ayrshire,2016,Mixed and undifferentiated materials,Landfilled,4
Scottish Borders,2016,Mixed and undifferentiated materials,Recycled,58
Scottish Borders,2016,Mixed and undifferentiated materials,Other Diversion,345
Dumfries and Galloway,2016,Mixed and undifferentiated materials,Recycled,109
West Dunbartonshire,2016,Combustion wastes,Landfilled,13
Moray,2016,Mixed and undifferentiated materials,Landfilled,0
Clackmannanshire,2016,Mixed and undifferentiated materials,Recycled,0
South Ayrshire,2016,Mixed and undifferentiated materials,Recycled,0
West Dunbartonshire,2016,Discarded vehicles,Other Diversion,0
East Ayrshire,2016,Mixed and undifferentiated materials,Recycled,339
East Ayrshire,2016,Mixed and undifferentiated materials,Other Diversion,0
West Dunbartonshire,2016,Mixed and undifferentiated materials,Recycled,0
Dumfries and Galloway,2016,Discarded vehicles,Other Diversion,0
Fife,2016,"Metallic wastes, ferrous",Recycled,1635
North Lanarkshire,2016,Mixed and undifferentiated materials,Recycled,184
Shetland Islands,2016,Discarded vehicles,Other Diversion,0
Shetland Islands,2016,Discarded vehicles,Landfilled,0
Shetland Islands,2016,Discarded vehicles,Recycled,0
East Lothian,2016,Mixed and undifferentiated materials,Other Diversion,0
Fife,2016,Mixed and undifferentiated materials,Landfilled,2813
Dundee City,2016,"Metallic wastes, ferrous",Recycled,118
Clackmannanshire,2016,Combustion wastes,Landfilled,523
North Lanarkshire,2016,Mixed and undifferentiated materials,Other Diversion,2127
Midlothian,2016,Discarded vehicles,Recycled,0
Scottish Borders,2016,Combustion wastes,Landfilled,129
South Ayrshire,2016,Used oils,Other Diversion,0
Midlothian,2016,Discarded vehicles,Landfilled,0
Dumfries and Galloway,2016,Mixed and undifferentiated materials,Other Diversion,0
North Lanarkshire,2016,Discarded vehicles,Landfilled,0
South Ayrshire,2016,Used oils,Recycled,0
Renfrewshire,2016,"Metallic wastes, ferrous",Other Diversion,0
East Dunbartonshire,2016,Mixed and undifferentiated materials,Landfilled,124
East Lothian,2016,Mixed and undifferentiated materials,Recycled,2
Aberdeen City,2016,Mixed and undifferentiated materials,Other Diversion,564
Aberdeen City,2016,Mixed and undifferentiated materials,Recycled,10
North Ayrshire,2016,Mixed and undifferentiated materials,Recycled,9
West Lothian,2016,"Metallic wastes, ferrous",Landfilled,0
North Lanarkshire,2016,Health care and biological wastes,Recycled,0
North Ayrshire,2016,Mixed and undifferentiated materials,Other Diversion,1199
East Renfrewshire,2016,"Metallic wastes, ferrous",Other Diversion,0
Falkirk,2016,Mixed and undifferentiated materials,Other Diversion,1189
East Renfrewshire,2016,"Metallic wastes, ferrous",Landfilled,0
Glasgow City,2016,Mixed and undifferentiated materials,Other Diversion,5983
East Lothian,2016,"Metallic wastes, ferrous",Recycled,225
South Ayrshire,2016,Discarded vehicles,Other Diversion,0
Glasgow City,2016,Mixed and undifferentiated materials,Recycled,2
South Ayrshire,2016,Mixed and undifferentiated materials,Landfilled,1261
Dumfries and Galloway,2016,Mixed and undifferentiated materials,Landfilled,3
East Dunbartonshire,2016,"Metallic wastes, ferrous",Recycled,0
East Dunbartonshire,2016,"Metallic wastes, ferrous",Landfilled,0
Scottish Borders,2016,Discarded vehicles,Other Diversion,0
Fife,2016,Mixed and undifferentiated materials,Recycled,0
Perth and Kinross,2016,Discarded vehicles,Other Diversion,0
Glasgow City,2016,Mixed and undifferentiated materials,Landfilled,200
Falkirk,2016,Used oils,Recycled,5
Aberdeenshire,2016,Combustion wastes,Landfilled,218
Shetland Islands,2016,Used oils,Recycled,4
Moray,2016,Used oils,Recycled,13
North Ayrshire,2016,Used oils,Landfilled,0
East Dunbartonshire,2016,Discarded vehicles,Landfilled,0
Angus,2016,Discarded vehicles,Other Diversion,0
Scottish Borders,2016,Health care and biological wastes,Other Diversion,0
East Ayrshire,2016,Used oils,Landfilled,0
Aberdeenshire,2016,Discarded vehicles,Other Diversion,0
Aberdeenshire,2016,Discarded vehicles,Landfilled,0
Argyll and Bute,2016,Mixed and undifferentiated materials,Recycled,0
East Ayrshire,2016,Used oils,Other Diversion,0
Angus,2016,Mixed and undifferentiated materials,Landfilled,25
Outer Hebrides,2016,Used oils,Recycled,3
Dundee City,2016,Mixed and undifferentiated materials,Landfilled,347
Aberdeenshire,2016,Mixed and undifferentiated materials,Recycled,0
Dundee City,2016,Mixed and undifferentiated materials,Other Diversion,0
Orkney Islands,2016,Health care and biological wastes,Landfilled,0
City of Edinburgh,2016,"Metallic wastes, ferrous",Landfilled,0
Outer Hebrides,2016,Mixed and undifferentiated materials,Recycled,0
Renfrewshire,2016,Mixed and undifferentiated materials,Other Diversion,2248
Aberdeenshire,2016,Discarded vehicles,Recycled,0
Outer Hebrides,2016,Discarded vehicles,Other Diversion,0
Scottish Borders,2016,Combustion wastes,Recycled,0
Aberdeenshire,2016,Household and similar wastes,Landfilled,72777
Midlothian,2016,Household and similar wastes,Landfilled,11970
Renfrewshire,2016,Household and similar wastes,Other Diversion,20335
South Ayrshire,2016,"Metallic wastes, non-ferrous",Landfilled,0
Orkney Islands,2016,Household and similar wastes,Recycled,0
East Lothian,2016,Discarded vehicles,Other Diversion,0
Midlothian,2016,"Metallic wastes, non-ferrous",Other Diversion,0
Falkirk,2016,Household and similar wastes,Recycled,0
Angus,2016,"Metallic wastes, non-ferrous",Other Diversion,0
Scottish Borders,2016,Combustion wastes,Other Diversion,136
West Dunbartonshire,2016,Household and similar wastes,Landfilled,18647
Aberdeen City,2016,Combustion wastes,Recycled,0
Aberdeen City,2016,Used oils,Other Diversion,0
Aberdeen City,2016,Used oils,Recycled,23
Angus,2016,Mixed and undifferentiated materials,Other Diversion,0
East Lothian,2016,"Metallic wastes, ferrous",Other Diversion,0
Aberdeen City,2016,Used oils,Landfilled,0
Argyll and Bute,2016,Mixed and undifferentiated materials,Landfilled,36
City of Edinburgh,2016,Discarded vehicles,Recycled,28
Aberdeenshire,2016,Used oils,Recycled,52
Aberdeenshire,2016,Mixed and undifferentiated materials,Other Diversion,654
West Lothian,2016,Mixed and undifferentiated materials,Landfilled,202
East Lothian,2016,Used oils,Landfilled,0
West Dunbartonshire,2016,"Metallic wastes, ferrous",Landfilled,0
East Lothian,2016,Mixed and undifferentiated materials,Landfilled,139
Moray,2016,Mixed and undifferentiated materials,Other Diversion,0
Dumfries and Galloway,2016,Discarded vehicles,Landfilled,0
North Lanarkshire,2016,Used oils,Landfilled,0
Perth and Kinross,2016,Discarded vehicles,Landfilled,0
Orkney Islands,2016,Discarded vehicles,Other Diversion,0
Dundee City,2016,"Metallic wastes, ferrous",Other Diversion,0
Dumfries and Galloway,2016,Discarded vehicles,Recycled,0
East Ayrshire,2016,Health care and biological wastes,Other Diversion,0
Dundee City,2016,Mixed and undifferentiated materials,Recycled,0
Glasgow City,2016,Used oils,Recycled,10
Aberdeenshire,2016,Mixed and undifferentiated materials,Landfilled,0
West Lothian,2016,Mixed and undifferentiated materials,Recycled,4
City of Edinburgh,2016,Mixed and undifferentiated materials,Other Diversion,0
East Ayrshire,2016,Mixed and undifferentiated materials,Landfilled,35
Inverclyde,2016,Used oils,Other Diversion,0
Dundee City,2016,Combustion wastes,Recycled,0
North Lanarkshire,2016,Health care and biological wastes,Other Diversion,0
North Lanarkshire,2016,Used oils,Other Diversion,0
East Dunbartonshire,2016,Combustion wastes,Other Diversion,1182
North Lanarkshire,2016,Health care and biological wastes,Landfilled,0
Dundee City,2016,"Metallic wastes, ferrous",Landfilled,0
Moray,2016,Mixed and undifferentiated materials,Recycled,128
Glasgow City,2016,Discarded vehicles,Recycled,3
City of Edinburgh,2016,Health care and biological wastes,Recycled,0
Argyll and Bute,2016,Mixed and undifferentiated materials,Other Diversion,4
East Dunbartonshire,2016,Used oils,Recycled,3
Perth and Kinross,2016,Discarded vehicles,Recycled,53
Outer Hebrides,2016,Mixed and undifferentiated materials,Landfilled,0
Orkney Islands,2016,Discarded vehicles,Landfilled,0
Renfrewshire,2016,Mixed and undifferentiated materials,Landfilled,317
Outer Hebrides,2016,Mixed and undifferentiated materials,Other Diversion,25
Angus,2016,Mixed and undifferentiated materials,Recycled,0
East Dunbartonshire,2016,Combustion wastes,Landfilled,0
East Ayrshire,2016,Combustion wastes,Recycled,0
Scottish Borders,2016,Discarded vehicles,Landfilled,0
City of Edinburgh,2016,"Metallic wastes, ferrous",Other Diversion,0
West Lothian,2016,Mixed and undifferentiated materials,Other Diversion,2607
City of Edinburgh,2016,Mixed and undifferentiated materials,Recycled,0
Renfrewshire,2016,Mixed and undifferentiated materials,Recycled,0
Highland,2016,Discarded vehicles,Recycled,30
East Ayrshire,2016,Health care and biological wastes,Landfilled,0
City of Edinburgh,2016,Mixed and undifferentiated materials,Landfilled,378
Scottish Borders,2016,Discarded vehicles,Recycled,0
Shetland Islands,2016,"Metallic wastes, ferrous",Landfilled,0
North Lanarkshire,2016,Combustion wastes,Other Diversion,3033
Glasgow City,2016,Combustion wastes,Other Diversion,0
South Lanarkshire,2016,Discarded vehicles,Other Diversion,0
Shetland Islands,2016,"Metallic wastes, ferrous",Recycled,0
Angus,2016,Mineral waste from construction and demolition,Recycled,2177
Stirling,2016,Discarded vehicles,Other Diversion,0
Glasgow City,2016,Used oils,Landfilled,0
Inverclyde,2016,Mineral waste from construction and demolition,Recycled,573
West Lothian,2016,Mineral waste from construction and demolition,Landfilled,1
Inverclyde,2016,Health care and biological wastes,Other Diversion,0
Glasgow City,2016,Mineral waste from construction and demolition,Landfilled,0
Inverclyde,2016,Mineral waste from construction and demolition,Other Diversion,0
South Ayrshire,2016,"Metallic wastes, ferrous",Other Diversion,0
Highland,2016,Used oils,Other Diversion,0
Renfrewshire,2016,Mineral waste from construction and demolition,Other Diversion,0
Midlothian,2016,Mineral waste from construction and demolition,Other Diversion,0
East Ayrshire,2016,Mineral waste from construction and demolition,Landfilled,0
Stirling,2016,Discarded vehicles,Landfilled,0
Stirling,2016,Combustion wastes,Recycled,0
West Dunbartonshire,2016,Mineral waste from construction and demolition,Landfilled,0
South Lanarkshire,2016,Used oils,Other Diversion,0
Angus,2016,Mineral waste from construction and demolition,Landfilled,0
East Ayrshire,2016,Mineral waste from construction and demolition,Other Diversion,0
South Lanarkshire,2016,Used oils,Landfilled,0
West Dunbartonshire,2016,"Metallic wastes, ferrous",Other Diversion,0
East Ayrshire,2016,Discarded vehicles,Landfilled,0
Midlothian,2016,Health care and biological wastes,Recycled,0
Outer Hebrides,2016,"Metallic wastes, ferrous",Recycled,46
North Lanarkshire,2016,Mineral waste from construction and demolition,Landfilled,0
East Renfrewshire,2016,Discarded vehicles,Landfilled,0
East Lothian,2016,Mineral waste from construction and demolition,Landfilled,0
Midlothian,2016,Mineral waste from construction and demolition,Landfilled,0
West Dunbartonshire,2016,Mineral waste from construction and demolition,Other Diversion,0
South Lanarkshire,2016,Discarded vehicles,Recycled,0
Midlothian,2016,Mineral waste from construction and demolition,Recycled,777
Inverclyde,2016,Mineral waste from construction and demolition,Landfilled,0
Fife,2016,Discarded vehicles,Recycled,107
North Lanarkshire,2016,Mineral waste from construction and demolition,Recycled,3488
Midlothian,2016,Health care and biological wastes,Landfilled,0
West Lothian,2016,Mineral waste from construction and demolition,Recycled,1504
Renfrewshire,2016,Mineral waste from construction and demolition,Recycled,5269
Angus,2016,Mineral waste from construction and demolition,Other Diversion,0
Clackmannanshire,2016,Used oils,Other Diversion,0
Highland,2016,Used oils,Recycled,33
East Renfrewshire,2016,Used oils,Other Diversion,0
Dumfries and Galloway,2016,Mineral waste from construction and demolition,Recycled,4297
Glasgow City,2016,Mineral waste from construction and demolition,Other Diversion,0
Moray,2016,Mineral waste from construction and demolition,Recycled,3562
Renfrewshire,2016,Combustion wastes,Landfilled,8019
East Ayrshire,2016,"Metallic wastes, ferrous",Recycled,345
North Lanarkshire,2016,Used oils,Recycled,32
Moray,2016,Mineral waste from construction and demolition,Other Diversion,0
Moray,2016,Mineral waste from construction and demolition,Landfilled,0
Shetland Islands,2016,Combustion wastes,Recycled,0
Highland,2016,Mineral waste from construction and demolition,Landfilled,0
Falkirk,2016,Discarded vehicles,Other Diversion,0
West Lothian,2016,Used oils,Other Diversion,0
Clackmannanshire,2016,Discarded vehicles,Landfilled,0
West Lothian,2016,Mineral waste from construction and demolition,Other Diversion,0
Aberdeen City,2016,Mineral waste from construction and demolition,Landfilled,0
Midlothian,2016,"Metallic wastes, ferrous",Recycled,182
Stirling,2016,Mineral waste from construction and demolition,Recycled,1886
Shetland Islands,2016,"Metallic wastes, ferrous",Other Diversion,0
Dumfries and Galloway,2016,"Metallic wastes, ferrous",Other Diversion,0
Highland,2016,Health care and biological wastes,Landfilled,0
Fife,2016,Used oils,Other Diversion,0
South Ayrshire,2016,Mineral waste from construction and demolition,Landfilled,0
Dundee City,2016,Mineral waste from construction and demolition,Recycled,24
Highland,2016,Combustion wastes,Landfilled,32
North Ayrshire,2016,Mineral waste from construction and demolition,Other Diversion,0
North Ayrshire,2016,Mineral waste from construction and demolition,Landfilled,0
Midlothian,2016,Combustion wastes,Recycled,0
Glasgow City,2016,Mineral waste from construction and demolition,Recycled,828
East Renfrewshire,2016,Mineral waste from construction and demolition,Other Diversion,0
South Ayrshire,2016,"Metallic wastes, ferrous",Landfilled,0
Midlothian,2016,"Metallic wastes, ferrous",Other Diversion,0
North Ayrshire,2016,Mineral waste from construction and demolition,Recycled,2297
City of Edinburgh,2016,Mineral waste from construction and demolition,Recycled,3492
Orkney Islands,2016,Mineral waste from construction and demolition,Other Diversion,0
Orkney Islands,2016,Mineral waste from construction and demolition,Landfilled,0
Aberdeen City,2016,Discarded vehicles,Other Diversion,0
Angus,2016,Used oils,Landfilled,0
South Lanarkshire,2016,Discarded vehicles,Landfilled,0
West Lothian,2016,Combustion wastes,Other Diversion,0
Highland,2016,Used oils,Landfilled,0
Clackmannanshire,2016,"Metallic wastes, ferrous",Landfilled,0
East Renfrewshire,2016,Mineral waste from construction and demolition,Recycled,4230
West Lothian,2016,Used oils,Landfilled,0
Angus,2016,Used oils,Other Diversion,0
Inverclyde,2016,Discarded vehicles,Recycled,0
East Lothian,2016,Discarded vehicles,Recycled,7
Midlothian,2016,Mixed and undifferentiated materials,Landfilled,242
Perth and Kinross,2016,Used oils,Recycled,29
Clackmannanshire,2016,Mixed and undifferentiated materials,Landfilled,378
Shetland Islands,2016,Mixed and undifferentiated materials,Other Diversion,0
Inverclyde,2016,Discarded vehicles,Other Diversion,0
Scottish Borders,2016,Mixed and undifferentiated materials,Landfilled,0
City of Edinburgh,2016,"Metallic wastes, ferrous",Recycled,888
Midlothian,2016,Mixed and undifferentiated materials,Other Diversion,0
Stirling,2016,Mixed and undifferentiated materials,Other Diversion,0
Outer Hebrides,2016,"Metallic wastes, ferrous",Landfilled,0
Falkirk,2016,Combustion wastes,Recycled,0
Highland,2016,Mixed and undifferentiated materials,Landfilled,823
East Lothian,2016,Used oils,Other Diversion,0
Shetland Islands,2016,Mixed and undifferentiated materials,Recycled,0
Orkney Islands,2016,Combustion wastes,Landfilled,1015
Fife,2016,Used oils,Recycled,43
Glasgow City,2016,Discarded vehicles,Landfilled,0
Stirling,2016,Mixed and undifferentiated materials,Landfilled,0
Perth and Kinross,2016,Used oils,Landfilled,0
Perth and Kinross,2016,Mixed and undifferentiated materials,Landfilled,34
East Dunbartonshire,2016,Mixed and undifferentiated materials,Other Diversion,4727
East Ayrshire,2016,Discarded vehicles,Other Diversion,0
East Ayrshire,2016,Combustion wastes,Landfilled,0
East Dunbartonshire,2016,Mixed and undifferentiated materials,Recycled,4
Dundee City,2016,Combustion wastes,Landfilled,3703
North Lanarkshire,2016,Mixed and undifferentiated materials,Landfilled,3262
Shetland Islands,2016,Mixed and undifferentiated materials,Landfilled,0
Aberdeen City,2016,Mixed and undifferentiated materials,Landfilled,111
North Lanarkshire,2016,Discarded vehicles,Other Diversion,0
Clackmannanshire,2016,Mixed and undifferentiated materials,Other Diversion,2960
Renfrewshire,2016,"Metallic wastes, ferrous",Recycled,381
Falkirk,2016,Mixed and undifferentiated materials,Landfilled,1054
Inverclyde,2016,Mixed and undifferentiated materials,Other Diversion,58
Inverclyde,2016,Mixed and undifferentiated materials,Recycled,267
West Dunbartonshire,2016,Mixed and undifferentiated materials,Other Diversion,513
Highland,2016,Mixed and undifferentiated materials,Recycled,0
West Dunbartonshire,2016,Health care and biological wastes,Recycled,0
Perth and Kinross,2016,Mixed and undifferentiated materials,Recycled,104
Inverclyde,2016,Discarded vehicles,Landfilled,0
Midlothian,2016,Mixed and undifferentiated materials,Recycled,12
Perth and Kinross,2016,Mixed and undifferentiated materials,Other Diversion,0
East Renfrewshire,2016,Mixed and undifferentiated materials,Landfilled,180
Midlothian,2016,Discarded vehicles,Other Diversion,0
Inverclyde,2016,Mixed and undifferentiated materials,Landfilled,1369
West Lothian,2016,"Metallic wastes, ferrous",Recycled,535
Highland,2016,Discarded vehicles,Landfilled,0
East Ayrshire,2016,Discarded vehicles,Recycled,11
Moray,2016,Discarded vehicles,Landfilled,0
Moray,2016,Discarded vehicles,Other Diversion,0
West Dunbartonshire,2016,Mineral waste from construction and demolition,Recycled,4236
Highland,2016,Discarded vehicles,Other Diversion,0
East Lothian,2016,Mineral waste from construction and demolition,Recycled,1332
Highland,2016,Mineral waste from construction and demolition,Recycled,9070
Dundee City,2016,Mineral waste from construction and demolition,Other Diversion,0
Falkirk,2016,Used oils,Other Diversion,0
East Ayrshire,2016,Mineral waste from construction and demolition,Recycled,0
North Ayrshire,2016,Discarded vehicles,Recycled,10
Inverclyde,2016,Health care and biological wastes,Landfilled,0
Highland,2016,Mineral waste from construction and demolition,Other Diversion,0
City of Edinburgh,2016,Mineral waste from construction and demolition,Landfilled,0
North Lanarkshire,2016,Mineral waste from construction and demolition,Other Diversion,0
Inverclyde,2016,Combustion wastes,Landfilled,32
Dumfries and Galloway,2016,Mineral waste from construction and demolition,Other Diversion,0
Renfrewshire,2016,Mineral waste from construction and demolition,Landfilled,0
Moray,2016,Discarded vehicles,Recycled,0
West Dunbartonshire,2016,Used oils,Other Diversion,0
Perth and Kinross,2016,Mineral waste from construction and demolition,Other Diversion,0
Shetland Islands,2016,Mineral waste from construction and demolition,Recycled,0
Perth and Kinross,2016,Mineral waste from construction and demolition,Recycled,6453
East Lothian,2016,Mineral waste from construction and demolition,Other Diversion,0
North Lanarkshire,2016,Discarded vehicles,Recycled,0
West Dunbartonshire,2016,Used oils,Recycled,0
Dumfries and Galloway,2016,Combustion wastes,Other Diversion,1439
South Lanarkshire,2016,Used oils,Recycled,23
Scottish Borders,2016,Mineral waste from construction and demolition,Landfilled,0
Dundee City,2016,Mineral waste from construction and demolition,Landfilled,0
East Ayrshire,2016,Combustion wastes,Other Diversion,0
Stirling,2016,Used oils,Recycled,5
Orkney Islands,2016,Mineral waste from construction and demolition,Recycled,0
Argyll and Bute,2016,Mineral waste from construction and demolition,Recycled,2566
West Dunbartonshire,2016,Health care and biological wastes,Other Diversion,0
Renfrewshire,2016,"Metallic wastes, ferrous",Landfilled,0
Inverclyde,2016,Health care and biological wastes,Recycled,0
Dumfries and Galloway,2016,Mineral waste from construction and demolition,Landfilled,70
Outer Hebrides,2016,"Metallic wastes, ferrous",Other Diversion,0
Glasgow City,2016,Discarded vehicles,Other Diversion,0
North Ayrshire,2016,Discarded vehicles,Landfilled,0
Angus,2016,"Metallic wastes, ferrous",Landfilled,0
City of Edinburgh,2016,Mineral waste from construction and demolition,Other Diversion,0
Perth and Kinross,2016,Mineral waste from construction and demolition,Landfilled,129
Angus,2016,Health care and biological wastes,Landfilled,0
Scottish Borders,2016,Mineral waste from construction and demolition,Recycled,1299
South Ayrshire,2016,Combustion wastes,Other Diversion,0
Scottish Borders,2016,Mineral waste from construction and demolition,Other Diversion,0
North Lanarkshire,2016,"Metallic wastes, ferrous",Recycled,647
Angus,2016,"Metallic wastes, ferrous",Recycled,412
East Renfrewshire,2016,"Metallic wastes, ferrous",Recycled,0
North Ayrshire,2016,Discarded vehicles,Other Diversion,0
Dumfries and Galloway,2016,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,2768
Falkirk,2016,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
East Ayrshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,16
Stirling,2016,Paper and cardboard wastes,Other Diversion,0
Stirling,2016,Paper and cardboard wastes,Landfilled,0
Clackmannanshire,2016,Paper and cardboard wastes,Recycled,3217
Renfrewshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,15
Moray,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,962
East Renfrewshire,2016,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,0
Aberdeen City,2016,Paper and cardboard wastes,Recycled,6266
South Lanarkshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2579
South Lanarkshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Ayrshire,2016,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,0
Inverclyde,2016,Glass wastes,Other Diversion,0
North Ayrshire,2016,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Dumfries and Galloway,2016,Paper and cardboard wastes,Landfilled,27
Argyll and Bute,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Falkirk,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1038
City of Edinburgh,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Fife,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Renfrewshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
South Ayrshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
West Dunbartonshire,2016,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
East Renfrewshire,2016,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,1313
North Ayrshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Moray,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Ayrshire,2016,Paper and cardboard wastes,Recycled,7987
Dundee City,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,690
Midlothian,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Falkirk,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Aberdeen City,2016,Paper and cardboard wastes,Other Diversion,0
City of Edinburgh,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,2184
Glasgow City,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Aberdeenshire,2016,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Ayrshire,2016,Paper and cardboard wastes,Landfilled,0
