region,year,material,management,tonnes
Aberdeen City,2011,"Metallic wastes, non-ferrous",Recycled,181
Scottish Borders,2011,Animal and mixed food waste,Recycled,0
Moray,2011,"Metallic wastes, non-ferrous",Landfilled,0
Dumfries and Galloway,2011,Vegetal wastes,Landfilled,0
City of Edinburgh,2011,Animal and mixed food waste,Other Diversion,53
East Dunbartonshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Scottish Borders,2011,Animal and mixed food waste,Other Diversion,0
Moray,2011,Vegetal wastes,Landfilled,0
Orkney Islands,2011,Vegetal wastes,Recycled,0
Orkney Islands,2011,Vegetal wastes,Other Diversion,1199
Shetland Islands,2011,"Metallic wastes, non-ferrous",Landfilled,0
Angus,2011,Vegetal wastes,Other Diversion,0
North Ayrshire,2011,Animal and mixed food waste,Landfilled,0
Shetland Islands,2011,Animal and mixed food waste,Other Diversion,0
Clackmannanshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
Orkney Islands,2011,Animal and mixed food waste,Landfilled,0
Dumfries and Galloway,2011,Animal and mixed food waste,Other Diversion,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Other Diversion,0
West Dunbartonshire,2011,Animal and mixed food waste,Recycled,1215
North Ayrshire,2011,"Metallic wastes, non-ferrous",Other Diversion,0
West Dunbartonshire,2011,"Metallic wastes, non-ferrous",Recycled,52
Highland,2011,"Metallic wastes, non-ferrous",Other Diversion,0
Stirling,2011,Batteries and accumulators wastes,Other Diversion,0
Falkirk,2011,"Metallic wastes, mixed ferrous and non-ferrous",Other Diversion,0
South Lanarkshire,2011,Batteries and accumulators wastes,Other Diversion,0
West Lothian,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1458
Dumfries and Galloway,2011,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Fife,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
East Ayrshire,2011,"Metallic wastes, non-ferrous",Landfilled,0
Glasgow City,2011,"Metallic wastes, non-ferrous",Recycled,259
Clackmannanshire,2011,"Metallic wastes, non-ferrous",Recycled,28
City of Edinburgh,2011,Batteries and accumulators wastes,Landfilled,0
East Renfrewshire,2011,Batteries and accumulators wastes,Other Diversion,0
Dundee City,2011,Batteries and accumulators wastes,Landfilled,0
Fife,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Clackmannanshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
North Lanarkshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
South Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
East Renfrewshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
East Renfrewshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
West Dunbartonshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
Aberdeenshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
South Ayrshire,2011,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Other Diversion,0
