region,year,quarter,yyyy-MM-dd,material,tonnes-weight,tonnes-co2e
Stirling,2013,1,2013-03-31,Scrap Metal,0,0.0
Stirling,2014,1,2014-03-31,Glass (Mixed - assumed go to aggregates),0,0.0
Stirling,2016,3,2016-09-30,Books,0.60203,0.5779488
Stirling,2019,3,2019-09-30,Small WEEE,0.14952,0.26629278748800004
Stirling,2017,2,2017-06-30,Plastics,0.014588000000000001,0.04921991200000001
Stirling,2017,2,2017-06-30,Wood,0.00023,0.00010488
Stirling,2013,1,2013-03-31,Textiles & Footwear,0.1594,3.604034
Stirling,2019,2,2019-06-30,Batteries,0.02539,0.308724111583
Stirling,2014,4,2014-12-31,plastic bottles (Average rigid plastics used - HDPE and PET),0.016072,0.053278679999999994
Stirling,2016,1,2016-03-31,plastic bottles (Average rigid plastics used - HDPE and PET),0.019773,0.065547495
Stirling,2014,1,2014-03-31,Aggregates (rubble),0.0546,0.0004368
Stirling,2017,4,2017-12-31,Textiles & Footwear,0.12961999999999998,2.8945442199999993
Stirling,2019,3,2019-09-30,Aggregates,0.4795299999999999,0.014000597644999997
Stirling,2018,3,2018-09-30,Aluminium,0.283,3.660039
Stirling,2014,3,2014-09-30,plastic bags (average plastic film used - LLDPE),0.012347999999999999,0.0324135
Stirling,2014,3,2014-09-30,Books,0.655813,1.0066729549999999
Stirling,2019,2,2019-06-30,Paper & Cardboard,0.00452,0.0040376011919999995
Stirling,2017,2,2017-06-30,WEEE (Fridges/Freezers),0,0.0
Stirling,2019,3,2019-09-30,Mixed Cans,0,0.0
Stirling,2014,4,2014-12-31,Books,0.04569,0.07013414999999999
Stirling,2016,1,2016-03-31,Textiles & Footwear,0.07412,1.6084040000000002
Stirling,2016,1,2016-03-31,Aggregates (rubble),0.051645,0.024118215000000003
Stirling,2016,1,2016-03-31,Paper & Cardboard,0.005085,0.007925825
Stirling,2017,3,2017-09-30,Scrap Metal,0.22164,0.7046264559999999
Stirling,2018,1,2018-03-31,Aluminium,0.046248000000000005,0.5981253840000002
Stirling,2015,2,2015-06-30,Food & Drink,0.030432,0.12295395792087746
Stirling,2013,2,2013-06-30,Wood,0.0931,0.1357398
Stirling,2018,3,2018-09-30,Batteries,0,0.0
Stirling,2019,4,2019-12-31,Plastics,0.016592000000000002,0.05209925332000002
Stirling,2016,3,2016-09-30,Aggregates,0.588994,0.006478934
Stirling,2013,2,2013-06-30,plastic bags (average plastic film used - LLDPE),0.002,0.00525
Stirling,2016,1,2016-03-31,Large WEEE (excluding fluorescent tubes),0.00283,0.00363089
Stirling,2013,2,2013-06-30,Small WEEE,0.081021,0.14397431699999999
Stirling,2015,3,2015-09-30,Scrap Metal,0.230285,0.70226561499999999
Stirling,2017,2,2017-06-30,Glass (Mixed - assumed go to aggregates),0.00842,0.007709352
Stirling,2015,1,2015-03-31,Small WEEE,0.02507,0.04454939
Stirling,2015,4,2015-12-31,plastic bags (average plastic film used - LLDPE),0,0.0
Stirling,2016,1,2016-03-31,Glass (Mixed - assumed go to aggregates),0,0.0
Stirling,2018,3,2018-09-30,Glass (Mixed - assumed go to aggregates),0.211929,0.1940421924
Stirling,2018,2,2018-06-30,Aluminium,0.06557,0.84801681
Stirling,2015,1,2015-03-31,Glass (Mixed - assumed go to aggregates),0.0089,0.0079655000000000005
Stirling,2016,4,2016-12-31,Aggregates,0.01796,0.00019755999999999999
Stirling,2015,4,2015-12-31,Aggregates (rubble),0.018005,0.00014404
Stirling,2016,4,2016-12-31,Paper & Cardboard,0.00656,0.006297599999999999
Stirling,2016,1,2016-03-31,plastic bags (average plastic film used - LLDPE),0.000135,0.00035437500000000005
Stirling,2018,1,2018-03-31,Wood,0.010613999999999999,0.004839983999999999
Stirling,2019,1,2019-03-31,Glass (Mixed - assumed go to aggregates),0.020254,0.018552664
Stirling,2014,2,2014-06-30,Food & Drink,0.002121,0.008569444819603742
Stirling,2017,1,2017-03-31,Scrap Metal,0.010584,0.0314016696
Stirling,2013,2,2013-06-30,Glass (colour separated - assumed remelt),0.049863,0.044627385000000004
Stirling,2017,2,2017-06-30,Small WEEE,0.00448,0.007981120000000001
Stirling,2017,3,2017-09-30,Books,0.9249299999999997,0.8879327999999997
Stirling,2015,3,2015-09-30,Aggregates (rubble),0.880482,0.007043856
Stirling,2014,2,2014-06-30,Large WEEE (excluding fluorescent tubes),0,0.0
Stirling,2016,2,2016-06-30,plastic bags (average plastic film used - LLDPE),0.010025,0.026315625000000004
Stirling,2018,1,2018-03-31,Small WEEE,0.012570000000000004,0.022393455000000007
Stirling,2016,2,2016-06-30,Glass (Mixed - assumed go to aggregates),0.002505,0.002240973
Stirling,2018,3,2018-09-30,WEEE (Fridges/Freezers),0.04502,0.172669708
Stirling,2016,4,2016-12-31,Aluminium,0.00083,0.01073439
Stirling,2017,3,2017-09-30,Plastics,0.21950000000000009,0.7405930000000003
Stirling,2019,3,2019-09-30,Batteries,0,0.0
Stirling,2019,4,2019-12-31,Food & Drink,0.0187,0.07631775932000001
Stirling,2019,3,2019-09-30,Aluminium,0.34803,4.487844135366
Stirling,2018,1,2018-03-31,Textiles & Footwear,0.42713400000000007,9.538329354000001
Stirling,2016,3,2016-09-30,Small WEEE,0.238703,0.4252493945
Stirling,2019,4,2019-12-31,Books,0.12203399999999999,0.119184933219
Stirling,2019,1,2019-03-31,Plastics,0.04063199999999999,0.12758539421999998
Stirling,2014,2,2014-06-30,Textiles & Footwear,0.133809,3.0254214899999997
Stirling,2018,1,2018-03-31,WEEE (Fridges/Freezers),0,0.0
Stirling,2016,3,2016-09-30,Scrap Metal,0.202938,0.6074103147
Stirling,2017,1,2017-03-31,Aggregates,0.0642,0.0007061999999999999
Stirling,2016,4,2016-12-31,Textiles & Footwear,0.24847399999999993,5.5486728939999975
Stirling,2019,4,2019-12-31,Paper & Cardboard,0,0.0
Stirling,2017,4,2017-12-31,Wood,0.003064,0.001397184
Stirling,2019,4,2019-12-31,Textiles & Footwear,0.5764399999999998,12.872481639999996
Stirling,2019,1,2019-03-31,Aggregates,0.111754,0.0008730557742
Stirling,2015,3,2015-09-30,Wood,0.080017,0.098180859
Stirling,2016,2,2016-06-30,Wood,0.00303,0.00371781
Stirling,2016,4,2016-12-31,Mixed Cans,0.00086,0.0056244000000000005
Stirling,2016,2,2016-06-30,Large WEEE (excluding fluorescent tubes),0.0105,0.013471499999999999
Stirling,2013,2,2013-06-30,Glass (Mixed - assumed go to aggregates),0.0082,0.0073389999999999995
Stirling,2018,1,2018-03-31,Food & Drink,0.043336,0.17685421599999998
