business-sector,year,material,tonnes
Manufacture of food and beverage products,2011,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2011,"Animal faeces, urine and manure",128613
Water industry,2011,"Animal faeces, urine and manure",0
Mining and quarrying,2011,"Animal faeces, urine and manure",0
Other manufacturing,2011,"Animal faeces, urine and manure",0
Commerce,2011,"Animal faeces, urine and manure",4
Power industry,2011,"Animal faeces, urine and manure",0
Manufacture of wood products,2011,"Animal faeces, urine and manure",0
Waste management,2011,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,"Animal faeces, urine and manure",0
Manufacture of food and beverage products,2011,Household and similar wastes,37350
"Agriculture, forestry and fishing",2011,Household and similar wastes,15250
Water industry,2011,Household and similar wastes,6372
Mining and quarrying,2011,Household and similar wastes,31664
Other manufacturing,2011,Household and similar wastes,68020
Commerce,2011,Household and similar wastes,1039179
Power industry,2011,Household and similar wastes,12266
Manufacture of wood products,2011,Household and similar wastes,21824
Waste management,2011,Household and similar wastes,2356
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Household and similar wastes,22211
Manufacture of food and beverage products,2011,Mixed and undifferentiated materials,33791
"Agriculture, forestry and fishing",2011,Mixed and undifferentiated materials,6974
Water industry,2011,Mixed and undifferentiated materials,15056
Mining and quarrying,2011,Mixed and undifferentiated materials,23547
Other manufacturing,2011,Mixed and undifferentiated materials,34443
Commerce,2011,Mixed and undifferentiated materials,20445
Power industry,2011,Mixed and undifferentiated materials,1159
Manufacture of wood products,2011,Mixed and undifferentiated materials,9872
Waste management,2011,Mixed and undifferentiated materials,379
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Mixed and undifferentiated materials,2950
Manufacture of food and beverage products,2011,Sorting residues,22
"Agriculture, forestry and fishing",2011,Sorting residues,0
Water industry,2011,Sorting residues,356
Mining and quarrying,2011,Sorting residues,0
Other manufacturing,2011,Sorting residues,23
Commerce,2011,Sorting residues,221
Power industry,2011,Sorting residues,0
Manufacture of wood products,2011,Sorting residues,0
Waste management,2011,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2011,Sorting residues,0
Manufacture of food and beverage products,2011,Common sludges,5647
"Agriculture, forestry and fishing",2011,Common sludges,6
Water industry,2011,Common sludges,139891
Mining and quarrying,2011,Common sludges,11
Other manufacturing,2011,Common sludges,217
Commerce,2011,Common sludges,2041
