business-sector,year,material,tonnes
Mining and quarrying,2014,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2014,Sludges and liquid wastes from waste treatment,0
Commerce,2014,Sludges and liquid wastes from waste treatment,0
Power industry,2014,Sludges and liquid wastes from waste treatment,0
Manufacture of wood products,2014,Sludges and liquid wastes from waste treatment,0
Waste management,2014,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Sludges and liquid wastes from waste treatment,0
Manufacture of food and beverage products,2014,Health care and biological wastes,0
"Agriculture, forestry and fishing",2014,Health care and biological wastes,0
Water industry,2014,Health care and biological wastes,0
Mining and quarrying,2014,Health care and biological wastes,10
Other manufacturing,2014,Health care and biological wastes,0
Commerce,2014,Health care and biological wastes,33679
Power industry,2014,Health care and biological wastes,0
Manufacture of wood products,2014,Health care and biological wastes,0
Waste management,2014,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Health care and biological wastes,0
Manufacture of food and beverage products,2014,"Metallic wastes, ferrous",505
"Agriculture, forestry and fishing",2014,"Metallic wastes, ferrous",6712
Water industry,2014,"Metallic wastes, ferrous",0
Mining and quarrying,2014,"Metallic wastes, ferrous",2795
Other manufacturing,2014,"Metallic wastes, ferrous",24419
Commerce,2014,"Metallic wastes, ferrous",100791
Power industry,2014,"Metallic wastes, ferrous",794
Manufacture of wood products,2014,"Metallic wastes, ferrous",0
Waste management,2014,"Metallic wastes, ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,"Metallic wastes, ferrous",391
Manufacture of food and beverage products,2014,"Metallic wastes, non-ferrous",0
"Agriculture, forestry and fishing",2014,"Metallic wastes, non-ferrous",416
Water industry,2014,"Metallic wastes, non-ferrous",0
Mining and quarrying,2014,"Metallic wastes, non-ferrous",510
Other manufacturing,2014,"Metallic wastes, non-ferrous",3968
Commerce,2014,"Metallic wastes, non-ferrous",6253
Power industry,2014,"Metallic wastes, non-ferrous",4
Manufacture of wood products,2014,"Metallic wastes, non-ferrous",0
Waste management,2014,"Metallic wastes, non-ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,"Metallic wastes, non-ferrous",0
Manufacture of food and beverage products,2014,"Metallic wastes, mixed ferrous and non-ferrous",158
"Agriculture, forestry and fishing",2014,"Metallic wastes, mixed ferrous and non-ferrous",17748
Water industry,2014,"Metallic wastes, mixed ferrous and non-ferrous",158
Mining and quarrying,2014,"Metallic wastes, mixed ferrous and non-ferrous",21176
Other manufacturing,2014,"Metallic wastes, mixed ferrous and non-ferrous",15156
Commerce,2014,"Metallic wastes, mixed ferrous and non-ferrous",86811
Power industry,2014,"Metallic wastes, mixed ferrous and non-ferrous",730
Manufacture of wood products,2014,"Metallic wastes, mixed ferrous and non-ferrous",424
Waste management,2014,"Metallic wastes, mixed ferrous and non-ferrous",158
"Manufacture of chemicals, plastics and pharmaceuticals",2014,"Metallic wastes, mixed ferrous and non-ferrous",1537
Manufacture of food and beverage products,2014,Glass wastes,9143
"Agriculture, forestry and fishing",2014,Glass wastes,181
Water industry,2014,Glass wastes,149
Mining and quarrying,2014,Glass wastes,220
Other manufacturing,2014,Glass wastes,3425
Commerce,2014,Glass wastes,36527
Power industry,2014,Glass wastes,149
Manufacture of wood products,2014,Glass wastes,149
Waste management,2014,Glass wastes,149
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Glass wastes,149
Manufacture of food and beverage products,2014,Paper and cardboard wastes,1411
"Agriculture, forestry and fishing",2014,Paper and cardboard wastes,786
Water industry,2014,Paper and cardboard wastes,763
Mining and quarrying,2014,Paper and cardboard wastes,2076
Other manufacturing,2014,Paper and cardboard wastes,1958
Commerce,2014,Paper and cardboard wastes,38100
Power industry,2014,Paper and cardboard wastes,763
Manufacture of wood products,2014,Paper and cardboard wastes,1213
Waste management,2014,Paper and cardboard wastes,763
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Paper and cardboard wastes,763
Manufacture of food and beverage products,2014,Rubber wastes,0
"Agriculture, forestry and fishing",2014,Rubber wastes,910
Water industry,2014,Rubber wastes,0
Mining and quarrying,2014,Rubber wastes,7
Other manufacturing,2014,Rubber wastes,37
Commerce,2014,Rubber wastes,36086
Power industry,2014,Rubber wastes,2
Manufacture of wood products,2014,Rubber wastes,0
Waste management,2014,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Rubber wastes,1
Manufacture of food and beverage products,2014,Plastic wastes,703
"Agriculture, forestry and fishing",2014,Plastic wastes,23743
Water industry,2014,Plastic wastes,281
Mining and quarrying,2014,Plastic wastes,766
Other manufacturing,2014,Plastic wastes,1141
Commerce,2014,Plastic wastes,7915
Power industry,2014,Plastic wastes,281
Manufacture of wood products,2014,Plastic wastes,281
Waste management,2014,Plastic wastes,281
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Plastic wastes,534
Manufacture of food and beverage products,2014,Wood wastes,2427
"Agriculture, forestry and fishing",2014,Wood wastes,2205
Water industry,2014,Wood wastes,2205
Mining and quarrying,2014,Wood wastes,4823
Other manufacturing,2014,Wood wastes,2862
Commerce,2014,Wood wastes,70061
Power industry,2014,Wood wastes,2205
Manufacture of wood products,2014,Wood wastes,50936
Waste management,2014,Wood wastes,2205
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Wood wastes,2205
Manufacture of food and beverage products,2014,Textile wastes,3
"Agriculture, forestry and fishing",2014,Textile wastes,3
Water industry,2014,Textile wastes,3
Mining and quarrying,2014,Textile wastes,11
Other manufacturing,2014,Textile wastes,11226
Commerce,2014,Textile wastes,393
Power industry,2014,Textile wastes,3
Manufacture of wood products,2014,Textile wastes,3
Waste management,2014,Textile wastes,3
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Textile wastes,3
Manufacture of food and beverage products,2014,Waste containing PCB,1
"Agriculture, forestry and fishing",2014,Waste containing PCB,1
Water industry,2014,Waste containing PCB,0
Mining and quarrying,2014,Waste containing PCB,4
Other manufacturing,2014,Waste containing PCB,2
Commerce,2014,Waste containing PCB,133
Power industry,2014,Waste containing PCB,0
Manufacture of wood products,2014,Waste containing PCB,0
Waste management,2014,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Waste containing PCB,2
Manufacture of food and beverage products,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",323
"Agriculture, forestry and fishing",2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",350
Water industry,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",291
Mining and quarrying,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1032
Other manufacturing,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",436
Commerce,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",15531
Power industry,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",293
Manufacture of wood products,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",291
Waste management,2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",291
"Manufacture of chemicals, plastics and pharmaceuticals",2014,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",388
Manufacture of food and beverage products,2014,Discarded vehicles,0
"Agriculture, forestry and fishing",2014,Discarded vehicles,4305
Water industry,2014,Discarded vehicles,0
Mining and quarrying,2014,Discarded vehicles,0
Other manufacturing,2014,Discarded vehicles,0
Commerce,2014,Discarded vehicles,65884
Power industry,2014,Discarded vehicles,8
Manufacture of wood products,2014,Discarded vehicles,0
Waste management,2014,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Discarded vehicles,0
Manufacture of food and beverage products,2014,Batteries and accumulators wastes,20
"Agriculture, forestry and fishing",2014,Batteries and accumulators wastes,383
Water industry,2014,Batteries and accumulators wastes,21
Mining and quarrying,2014,Batteries and accumulators wastes,651
Other manufacturing,2014,Batteries and accumulators wastes,350
Commerce,2014,Batteries and accumulators wastes,3977
Power industry,2014,Batteries and accumulators wastes,97
Manufacture of wood products,2014,Batteries and accumulators wastes,24
Waste management,2014,Batteries and accumulators wastes,20
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Batteries and accumulators wastes,94
Manufacture of food and beverage products,2014,Animal and mixed food waste,114477
"Agriculture, forestry and fishing",2014,Animal and mixed food waste,2177
Water industry,2014,Animal and mixed food waste,231
Mining and quarrying,2014,Animal and mixed food waste,1758
Other manufacturing,2014,Animal and mixed food waste,104
Commerce,2014,Animal and mixed food waste,56463
Power industry,2014,Animal and mixed food waste,92
Manufacture of wood products,2014,Animal and mixed food waste,92
Waste management,2014,Animal and mixed food waste,92
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Animal and mixed food waste,95
Manufacture of food and beverage products,2014,Vegetal wastes,338696
"Agriculture, forestry and fishing",2014,Vegetal wastes,16346
Water industry,2014,Vegetal wastes,1372
Mining and quarrying,2014,Vegetal wastes,1400
Other manufacturing,2014,Vegetal wastes,1372
Commerce,2014,Vegetal wastes,115955
Power industry,2014,Vegetal wastes,1372
Manufacture of wood products,2014,Vegetal wastes,1372
Waste management,2014,Vegetal wastes,1372
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Vegetal wastes,1372
Manufacture of food and beverage products,2014,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2014,"Animal faeces, urine and manure",127416
Water industry,2014,"Animal faeces, urine and manure",0
Mining and quarrying,2014,"Animal faeces, urine and manure",0
Other manufacturing,2014,"Animal faeces, urine and manure",0
Commerce,2014,"Animal faeces, urine and manure",23
Power industry,2014,"Animal faeces, urine and manure",0
Manufacture of wood products,2014,"Animal faeces, urine and manure",0
Waste management,2014,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,"Animal faeces, urine and manure",0
Manufacture of food and beverage products,2014,Household and similar wastes,8799
"Agriculture, forestry and fishing",2014,Household and similar wastes,4322
Water industry,2014,Household and similar wastes,4322
Mining and quarrying,2014,Household and similar wastes,15467
Other manufacturing,2014,Household and similar wastes,6487
Commerce,2014,Household and similar wastes,538963
Power industry,2014,Household and similar wastes,4322
Manufacture of wood products,2014,Household and similar wastes,4322
Waste management,2014,Household and similar wastes,4322
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Household and similar wastes,4470
Manufacture of food and beverage products,2014,Mixed and undifferentiated materials,16395
"Agriculture, forestry and fishing",2014,Mixed and undifferentiated materials,3545
Water industry,2014,Mixed and undifferentiated materials,5744
Mining and quarrying,2014,Mixed and undifferentiated materials,5197
Other manufacturing,2014,Mixed and undifferentiated materials,30946
Commerce,2014,Mixed and undifferentiated materials,18415
Power industry,2014,Mixed and undifferentiated materials,863
Manufacture of wood products,2014,Mixed and undifferentiated materials,976
Waste management,2014,Mixed and undifferentiated materials,844
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Mixed and undifferentiated materials,7900
Manufacture of food and beverage products,2014,Sorting residues,0
"Agriculture, forestry and fishing",2014,Sorting residues,0
Water industry,2014,Sorting residues,0
Mining and quarrying,2014,Sorting residues,60
Other manufacturing,2014,Sorting residues,0
Commerce,2014,Sorting residues,0
Power industry,2014,Sorting residues,0
Manufacture of wood products,2014,Sorting residues,0
Waste management,2014,Sorting residues,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Sorting residues,0
Manufacture of food and beverage products,2014,Common sludges,4732
"Agriculture, forestry and fishing",2014,Common sludges,713
Water industry,2014,Common sludges,97380
Mining and quarrying,2014,Common sludges,312
Other manufacturing,2014,Common sludges,2645
Commerce,2014,Common sludges,4920
Power industry,2014,Common sludges,0
Manufacture of wood products,2014,Common sludges,0
Waste management,2014,Common sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Common sludges,48
Manufacture of food and beverage products,2014,Mineral waste from construction and demolition,0
"Agriculture, forestry and fishing",2014,Mineral waste from construction and demolition,0
Water industry,2014,Mineral waste from construction and demolition,0
Mining and quarrying,2014,Mineral waste from construction and demolition,84
Other manufacturing,2014,Mineral waste from construction and demolition,214
Commerce,2014,Mineral waste from construction and demolition,0
Power industry,2014,Mineral waste from construction and demolition,37
Manufacture of wood products,2014,Mineral waste from construction and demolition,0
Waste management,2014,Mineral waste from construction and demolition,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Mineral waste from construction and demolition,0
Manufacture of food and beverage products,2014,Other mineral wastes,5830
"Agriculture, forestry and fishing",2014,Other mineral wastes,87
Water industry,2014,Other mineral wastes,2203
Mining and quarrying,2014,Other mineral wastes,62836
Other manufacturing,2014,Other mineral wastes,24147
Commerce,2014,Other mineral wastes,4393
Power industry,2014,Other mineral wastes,78
Manufacture of wood products,2014,Other mineral wastes,78
Waste management,2014,Other mineral wastes,78
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Other mineral wastes,118
Manufacture of food and beverage products,2014,Combustion wastes,0
"Agriculture, forestry and fishing",2014,Combustion wastes,0
Water industry,2014,Combustion wastes,0
Mining and quarrying,2014,Combustion wastes,0
Other manufacturing,2014,Combustion wastes,126
Commerce,2014,Combustion wastes,1543
Power industry,2014,Combustion wastes,420303
Manufacture of wood products,2014,Combustion wastes,0
Waste management,2014,Combustion wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Combustion wastes,0
Manufacture of food and beverage products,2014,Soils,5640
"Agriculture, forestry and fishing",2014,Soils,6850
Water industry,2014,Soils,5640
Mining and quarrying,2014,Soils,5693
Other manufacturing,2014,Soils,5640
Commerce,2014,Soils,86161
Power industry,2014,Soils,5640
Manufacture of wood products,2014,Soils,5640
Waste management,2014,Soils,5640
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Soils,5640
Manufacture of food and beverage products,2014,Dredging spoils,0
"Agriculture, forestry and fishing",2014,Dredging spoils,0
Water industry,2014,Dredging spoils,0
Mining and quarrying,2014,Dredging spoils,0
Other manufacturing,2014,Dredging spoils,0
Commerce,2014,Dredging spoils,0
Power industry,2014,Dredging spoils,0
Manufacture of wood products,2014,Dredging spoils,0
Waste management,2014,Dredging spoils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Dredging spoils,0
Manufacture of food and beverage products,2014,Mineral wastes from waste treatment and stabilised wastes,0
"Agriculture, forestry and fishing",2014,Mineral wastes from waste treatment and stabilised wastes,0
Water industry,2014,Mineral wastes from waste treatment and stabilised wastes,0
Mining and quarrying,2014,Mineral wastes from waste treatment and stabilised wastes,0
Other manufacturing,2014,Mineral wastes from waste treatment and stabilised wastes,0
Commerce,2014,Mineral wastes from waste treatment and stabilised wastes,0
Power industry,2014,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of wood products,2014,Mineral wastes from waste treatment and stabilised wastes,0
Waste management,2014,Mineral wastes from waste treatment and stabilised wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2014,Mineral wastes from waste treatment and stabilised wastes,0
Manufacture of food and beverage products,2015,Spent solvents,2
"Agriculture, forestry and fishing",2015,Spent solvents,2
Water industry,2015,Spent solvents,2
Mining and quarrying,2015,Spent solvents,764
Other manufacturing,2015,Spent solvents,4
Commerce,2015,Spent solvents,80
Power industry,2015,Spent solvents,2
Manufacture of wood products,2015,Spent solvents,2
Waste management,2015,Spent solvents,2
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Spent solvents,64562
Manufacture of food and beverage products,2015,"Acid, alkaline or saline wastes",0
"Agriculture, forestry and fishing",2015,"Acid, alkaline or saline wastes",0
Water industry,2015,"Acid, alkaline or saline wastes",0
Mining and quarrying,2015,"Acid, alkaline or saline wastes",214
Other manufacturing,2015,"Acid, alkaline or saline wastes",2662
Commerce,2015,"Acid, alkaline or saline wastes",413
Power industry,2015,"Acid, alkaline or saline wastes",0
Manufacture of wood products,2015,"Acid, alkaline or saline wastes",0
Waste management,2015,"Acid, alkaline or saline wastes",0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,"Acid, alkaline or saline wastes",2279
Manufacture of food and beverage products,2015,Used oils,175
"Agriculture, forestry and fishing",2015,Used oils,3862
Water industry,2015,Used oils,9
Mining and quarrying,2015,Used oils,11432
Other manufacturing,2015,Used oils,7657
Commerce,2015,Used oils,23454
Power industry,2015,Used oils,561
Manufacture of wood products,2015,Used oils,24
Waste management,2015,Used oils,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Used oils,1431
Manufacture of food and beverage products,2015,Chemical wastes,1217
"Agriculture, forestry and fishing",2015,Chemical wastes,34190
Water industry,2015,Chemical wastes,287
Mining and quarrying,2015,Chemical wastes,19521
Other manufacturing,2015,Chemical wastes,5941
Commerce,2015,Chemical wastes,24021
Power industry,2015,Chemical wastes,1281
Manufacture of wood products,2015,Chemical wastes,468
Waste management,2015,Chemical wastes,58
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Chemical wastes,20184
Manufacture of food and beverage products,2015,Industrial effluent sludges,100
"Agriculture, forestry and fishing",2015,Industrial effluent sludges,90
Water industry,2015,Industrial effluent sludges,14
Mining and quarrying,2015,Industrial effluent sludges,57419
Other manufacturing,2015,Industrial effluent sludges,7182
Commerce,2015,Industrial effluent sludges,1230
Power industry,2015,Industrial effluent sludges,162
Manufacture of wood products,2015,Industrial effluent sludges,1339
Waste management,2015,Industrial effluent sludges,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Industrial effluent sludges,5603
Manufacture of food and beverage products,2015,Sludges and liquid wastes from waste treatment,0
"Agriculture, forestry and fishing",2015,Sludges and liquid wastes from waste treatment,0
Water industry,2015,Sludges and liquid wastes from waste treatment,0
Mining and quarrying,2015,Sludges and liquid wastes from waste treatment,0
Other manufacturing,2015,Sludges and liquid wastes from waste treatment,0
Commerce,2015,Sludges and liquid wastes from waste treatment,901
Power industry,2015,Sludges and liquid wastes from waste treatment,0
Manufacture of wood products,2015,Sludges and liquid wastes from waste treatment,0
Waste management,2015,Sludges and liquid wastes from waste treatment,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Sludges and liquid wastes from waste treatment,0
Manufacture of food and beverage products,2015,Health care and biological wastes,0
"Agriculture, forestry and fishing",2015,Health care and biological wastes,0
Water industry,2015,Health care and biological wastes,0
Mining and quarrying,2015,Health care and biological wastes,14
Other manufacturing,2015,Health care and biological wastes,47
Commerce,2015,Health care and biological wastes,29231
Power industry,2015,Health care and biological wastes,0
Manufacture of wood products,2015,Health care and biological wastes,0
Waste management,2015,Health care and biological wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Health care and biological wastes,0
Manufacture of food and beverage products,2015,"Metallic wastes, ferrous",0
"Agriculture, forestry and fishing",2015,"Metallic wastes, ferrous",6467
Water industry,2015,"Metallic wastes, ferrous",3133
Mining and quarrying,2015,"Metallic wastes, ferrous",2588
Other manufacturing,2015,"Metallic wastes, ferrous",58276
Commerce,2015,"Metallic wastes, ferrous",97501
Power industry,2015,"Metallic wastes, ferrous",12
Manufacture of wood products,2015,"Metallic wastes, ferrous",0
Waste management,2015,"Metallic wastes, ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,"Metallic wastes, ferrous",0
Manufacture of food and beverage products,2015,"Metallic wastes, non-ferrous",787
"Agriculture, forestry and fishing",2015,"Metallic wastes, non-ferrous",447
Water industry,2015,"Metallic wastes, non-ferrous",0
Mining and quarrying,2015,"Metallic wastes, non-ferrous",459
Other manufacturing,2015,"Metallic wastes, non-ferrous",7925
Commerce,2015,"Metallic wastes, non-ferrous",7401
Power industry,2015,"Metallic wastes, non-ferrous",414
Manufacture of wood products,2015,"Metallic wastes, non-ferrous",0
Waste management,2015,"Metallic wastes, non-ferrous",0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,"Metallic wastes, non-ferrous",48
Manufacture of food and beverage products,2015,"Metallic wastes, mixed ferrous and non-ferrous",653
"Agriculture, forestry and fishing",2015,"Metallic wastes, mixed ferrous and non-ferrous",2787
Water industry,2015,"Metallic wastes, mixed ferrous and non-ferrous",467
Mining and quarrying,2015,"Metallic wastes, mixed ferrous and non-ferrous",22845
Other manufacturing,2015,"Metallic wastes, mixed ferrous and non-ferrous",35848
Commerce,2015,"Metallic wastes, mixed ferrous and non-ferrous",77907
Power industry,2015,"Metallic wastes, mixed ferrous and non-ferrous",841
Manufacture of wood products,2015,"Metallic wastes, mixed ferrous and non-ferrous",467
Waste management,2015,"Metallic wastes, mixed ferrous and non-ferrous",467
"Manufacture of chemicals, plastics and pharmaceuticals",2015,"Metallic wastes, mixed ferrous and non-ferrous",1753
Manufacture of food and beverage products,2015,Glass wastes,22214
"Agriculture, forestry and fishing",2015,Glass wastes,97
Water industry,2015,Glass wastes,65
Mining and quarrying,2015,Glass wastes,125
Other manufacturing,2015,Glass wastes,3501
Commerce,2015,Glass wastes,34519
Power industry,2015,Glass wastes,65
Manufacture of wood products,2015,Glass wastes,65
Waste management,2015,Glass wastes,65
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Glass wastes,65
Manufacture of food and beverage products,2015,Paper and cardboard wastes,1794
"Agriculture, forestry and fishing",2015,Paper and cardboard wastes,429
Water industry,2015,Paper and cardboard wastes,429
Mining and quarrying,2015,Paper and cardboard wastes,2940
Other manufacturing,2015,Paper and cardboard wastes,577
Commerce,2015,Paper and cardboard wastes,27726
Power industry,2015,Paper and cardboard wastes,429
Manufacture of wood products,2015,Paper and cardboard wastes,429
Waste management,2015,Paper and cardboard wastes,429
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Paper and cardboard wastes,429
Manufacture of food and beverage products,2015,Rubber wastes,0
"Agriculture, forestry and fishing",2015,Rubber wastes,457
Water industry,2015,Rubber wastes,1
Mining and quarrying,2015,Rubber wastes,4
Other manufacturing,2015,Rubber wastes,2
Commerce,2015,Rubber wastes,29468
Power industry,2015,Rubber wastes,3
Manufacture of wood products,2015,Rubber wastes,0
Waste management,2015,Rubber wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Rubber wastes,0
Manufacture of food and beverage products,2015,Plastic wastes,1170
"Agriculture, forestry and fishing",2015,Plastic wastes,14371
Water industry,2015,Plastic wastes,383
Mining and quarrying,2015,Plastic wastes,928
Other manufacturing,2015,Plastic wastes,362
Commerce,2015,Plastic wastes,7968
Power industry,2015,Plastic wastes,333
Manufacture of wood products,2015,Plastic wastes,378
Waste management,2015,Plastic wastes,330
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Plastic wastes,1671
Manufacture of food and beverage products,2015,Wood wastes,2305
"Agriculture, forestry and fishing",2015,Wood wastes,2291
Water industry,2015,Wood wastes,11436
Mining and quarrying,2015,Wood wastes,5081
Other manufacturing,2015,Wood wastes,3423
Commerce,2015,Wood wastes,61768
Power industry,2015,Wood wastes,2287
Manufacture of wood products,2015,Wood wastes,33249
Waste management,2015,Wood wastes,2287
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Wood wastes,2287
Manufacture of food and beverage products,2015,Textile wastes,7
"Agriculture, forestry and fishing",2015,Textile wastes,7
Water industry,2015,Textile wastes,7
Mining and quarrying,2015,Textile wastes,11
Other manufacturing,2015,Textile wastes,17741
Commerce,2015,Textile wastes,581
Power industry,2015,Textile wastes,7
Manufacture of wood products,2015,Textile wastes,7
Waste management,2015,Textile wastes,7
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Textile wastes,7
Manufacture of food and beverage products,2015,Waste containing PCB,1
"Agriculture, forestry and fishing",2015,Waste containing PCB,0
Water industry,2015,Waste containing PCB,0
Mining and quarrying,2015,Waste containing PCB,16
Other manufacturing,2015,Waste containing PCB,1
Commerce,2015,Waste containing PCB,102
Power industry,2015,Waste containing PCB,0
Manufacture of wood products,2015,Waste containing PCB,0
Waste management,2015,Waste containing PCB,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Waste containing PCB,2
Manufacture of food and beverage products,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",409
"Agriculture, forestry and fishing",2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",248
Water industry,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",202
Mining and quarrying,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",1064
Other manufacturing,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",4259
Commerce,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",36277
Power industry,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",220
Manufacture of wood products,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",203
Waste management,2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",202
"Manufacture of chemicals, plastics and pharmaceuticals",2015,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",583
Manufacture of food and beverage products,2015,Discarded vehicles,0
"Agriculture, forestry and fishing",2015,Discarded vehicles,2865
Water industry,2015,Discarded vehicles,0
Mining and quarrying,2015,Discarded vehicles,0
Other manufacturing,2015,Discarded vehicles,0
Commerce,2015,Discarded vehicles,43295
Power industry,2015,Discarded vehicles,5
Manufacture of wood products,2015,Discarded vehicles,0
Waste management,2015,Discarded vehicles,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Discarded vehicles,0
Manufacture of food and beverage products,2015,Batteries and accumulators wastes,0
"Agriculture, forestry and fishing",2015,Batteries and accumulators wastes,463
Water industry,2015,Batteries and accumulators wastes,2
Mining and quarrying,2015,Batteries and accumulators wastes,460
Other manufacturing,2015,Batteries and accumulators wastes,351
Commerce,2015,Batteries and accumulators wastes,4824
Power industry,2015,Batteries and accumulators wastes,98
Manufacture of wood products,2015,Batteries and accumulators wastes,6
Waste management,2015,Batteries and accumulators wastes,0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Batteries and accumulators wastes,30
Manufacture of food and beverage products,2015,Animal and mixed food waste,132124
"Agriculture, forestry and fishing",2015,Animal and mixed food waste,2997
Water industry,2015,Animal and mixed food waste,936
Mining and quarrying,2015,Animal and mixed food waste,1217
Other manufacturing,2015,Animal and mixed food waste,3596
Commerce,2015,Animal and mixed food waste,60263
Power industry,2015,Animal and mixed food waste,21
Manufacture of wood products,2015,Animal and mixed food waste,21
Waste management,2015,Animal and mixed food waste,21
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Animal and mixed food waste,21
Manufacture of food and beverage products,2015,Vegetal wastes,468335
"Agriculture, forestry and fishing",2015,Vegetal wastes,19013
Water industry,2015,Vegetal wastes,1242
Mining and quarrying,2015,Vegetal wastes,1292
Other manufacturing,2015,Vegetal wastes,1318
Commerce,2015,Vegetal wastes,105955
Power industry,2015,Vegetal wastes,1242
Manufacture of wood products,2015,Vegetal wastes,1242
Waste management,2015,Vegetal wastes,1242
"Manufacture of chemicals, plastics and pharmaceuticals",2015,Vegetal wastes,1242
Manufacture of food and beverage products,2015,"Animal faeces, urine and manure",0
"Agriculture, forestry and fishing",2015,"Animal faeces, urine and manure",119358
Water industry,2015,"Animal faeces, urine and manure",0
Mining and quarrying,2015,"Animal faeces, urine and manure",57
Other manufacturing,2015,"Animal faeces, urine and manure",0
Commerce,2015,"Animal faeces, urine and manure",52
Power industry,2015,"Animal faeces, urine and manure",0
Manufacture of wood products,2015,"Animal faeces, urine and manure",0
Waste management,2015,"Animal faeces, urine and manure",0
"Manufacture of chemicals, plastics and pharmaceuticals",2015,"Animal faeces, urine and manure",0
Manufacture of food and beverage products,2015,Household and similar wastes,3936
"Agriculture, forestry and fishing",2015,Household and similar wastes,1038
Water industry,2015,Household and similar wastes,1006
Mining and quarrying,2015,Household and similar wastes,9222
Other manufacturing,2015,Household and similar wastes,3191
Commerce,2015,Household and similar wastes,551777
Power industry,2015,Household and similar wastes,1018
Manufacture of wood products,2015,Household and similar wastes,1015
