region,year,material,tonnes
Aberdeenshire,2011,"Metallic wastes, ferrous",496
Renfrewshire,2011,"Metallic wastes, ferrous",807
East Renfrewshire,2011,"Metallic wastes, ferrous",0
Fife,2011,"Metallic wastes, ferrous",1039
City of Edinburgh,2011,"Metallic wastes, ferrous",3
East Dunbartonshire,2011,"Metallic wastes, ferrous",17
North Ayrshire,2011,"Metallic wastes, ferrous",0
Offshore,2011,"Metallic wastes, ferrous",0
Glasgow City,2011,"Metallic wastes, ferrous",8554
North Lanarkshire,2011,"Metallic wastes, ferrous",15141
East Lothian,2011,"Metallic wastes, ferrous",0
Argyll and Bute,2011,"Metallic wastes, ferrous",2
Angus,2011,"Metallic wastes, ferrous",2643
Dumfries and Galloway,2011,"Metallic wastes, ferrous",3410
Shetland Islands,2011,"Metallic wastes, ferrous",255
Stirling,2011,"Metallic wastes, ferrous",333
South Lanarkshire,2011,"Metallic wastes, ferrous",1
Perth and Kinross,2011,"Metallic wastes, ferrous",63
East Ayrshire,2011,"Metallic wastes, ferrous",1928
Outer Hebrides,2011,"Metallic wastes, ferrous",25
Inverclyde,2011,"Metallic wastes, ferrous",0
Highland,2011,"Metallic wastes, ferrous",6174
Midlothian,2011,"Metallic wastes, ferrous",0
Orkney Islands,2011,"Metallic wastes, ferrous",0
Aberdeen City,2011,"Metallic wastes, ferrous",8142
Scottish Borders,2011,"Metallic wastes, ferrous",24
West Dunbartonshire,2011,"Metallic wastes, ferrous",0
Clackmannanshire,2011,"Metallic wastes, ferrous",136
Moray,2011,"Metallic wastes, ferrous",0
West Lothian,2011,"Metallic wastes, ferrous",9460
Dundee City,2011,"Metallic wastes, ferrous",1308
Unknown,2011,"Metallic wastes, ferrous",0
Falkirk,2011,"Metallic wastes, non-ferrous",26
South Ayrshire,2011,"Metallic wastes, non-ferrous",7012
Aberdeenshire,2011,"Metallic wastes, non-ferrous",14
Renfrewshire,2011,"Metallic wastes, non-ferrous",29
East Renfrewshire,2011,"Metallic wastes, non-ferrous",0
Fife,2011,"Metallic wastes, non-ferrous",51
City of Edinburgh,2011,"Metallic wastes, non-ferrous",90
East Dunbartonshire,2011,"Metallic wastes, non-ferrous",0
North Ayrshire,2011,"Metallic wastes, non-ferrous",232
Offshore,2011,"Metallic wastes, non-ferrous",0
Glasgow City,2011,"Metallic wastes, non-ferrous",6293
North Lanarkshire,2011,"Metallic wastes, non-ferrous",4627
East Lothian,2011,"Metallic wastes, non-ferrous",5
Argyll and Bute,2011,"Metallic wastes, non-ferrous",1
Angus,2011,"Metallic wastes, non-ferrous",238
Dumfries and Galloway,2011,"Metallic wastes, non-ferrous",293
Shetland Islands,2011,"Metallic wastes, non-ferrous",3
Stirling,2011,"Metallic wastes, non-ferrous",13
South Lanarkshire,2011,"Metallic wastes, non-ferrous",48
Perth and Kinross,2011,"Metallic wastes, non-ferrous",11
East Ayrshire,2011,"Metallic wastes, non-ferrous",811
Outer Hebrides,2011,"Metallic wastes, non-ferrous",16
Inverclyde,2011,"Metallic wastes, non-ferrous",8
Highland,2011,"Metallic wastes, non-ferrous",186
Midlothian,2011,"Metallic wastes, non-ferrous",0
Orkney Islands,2011,"Metallic wastes, non-ferrous",0
Aberdeen City,2011,"Metallic wastes, non-ferrous",2660
Scottish Borders,2011,"Metallic wastes, non-ferrous",25
West Dunbartonshire,2011,"Metallic wastes, non-ferrous",1
Clackmannanshire,2011,"Metallic wastes, non-ferrous",26
Moray,2011,"Metallic wastes, non-ferrous",0
West Lothian,2011,"Metallic wastes, non-ferrous",801
Dundee City,2011,"Metallic wastes, non-ferrous",638
Unknown,2011,"Metallic wastes, non-ferrous",0
Falkirk,2011,"Metallic wastes, mixed ferrous and non-ferrous",126
South Ayrshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",61129
Aberdeenshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",16347
Renfrewshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",25529
East Renfrewshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",23
Fife,2011,"Metallic wastes, mixed ferrous and non-ferrous",8616
City of Edinburgh,2011,"Metallic wastes, mixed ferrous and non-ferrous",1393
East Dunbartonshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",1
North Ayrshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",22
Offshore,2011,"Metallic wastes, mixed ferrous and non-ferrous",45
Glasgow City,2011,"Metallic wastes, mixed ferrous and non-ferrous",10118
North Lanarkshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",27286
East Lothian,2011,"Metallic wastes, mixed ferrous and non-ferrous",312
Argyll and Bute,2011,"Metallic wastes, mixed ferrous and non-ferrous",380
Angus,2011,"Metallic wastes, mixed ferrous and non-ferrous",920
Dumfries and Galloway,2011,"Metallic wastes, mixed ferrous and non-ferrous",3053
Shetland Islands,2011,"Metallic wastes, mixed ferrous and non-ferrous",101
Stirling,2011,"Metallic wastes, mixed ferrous and non-ferrous",1055
South Lanarkshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",2016
Perth and Kinross,2011,"Metallic wastes, mixed ferrous and non-ferrous",81
East Ayrshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",4332
Outer Hebrides,2011,"Metallic wastes, mixed ferrous and non-ferrous",128
Inverclyde,2011,"Metallic wastes, mixed ferrous and non-ferrous",73
Highland,2011,"Metallic wastes, mixed ferrous and non-ferrous",1802
Midlothian,2011,"Metallic wastes, mixed ferrous and non-ferrous",146
Orkney Islands,2011,"Metallic wastes, mixed ferrous and non-ferrous",1779
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",47127
Scottish Borders,2011,"Metallic wastes, mixed ferrous and non-ferrous",176
West Dunbartonshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",257
Clackmannanshire,2011,"Metallic wastes, mixed ferrous and non-ferrous",78
Moray,2011,"Metallic wastes, mixed ferrous and non-ferrous",183
West Lothian,2011,"Metallic wastes, mixed ferrous and non-ferrous",6343
Dundee City,2011,"Metallic wastes, mixed ferrous and non-ferrous",4194
Unknown,2011,"Metallic wastes, mixed ferrous and non-ferrous",0
Falkirk,2011,Glass wastes,135
South Ayrshire,2011,Glass wastes,3
Aberdeenshire,2011,Glass wastes,51
Renfrewshire,2011,Glass wastes,4611
East Renfrewshire,2011,Glass wastes,9
Fife,2011,Glass wastes,1468
City of Edinburgh,2011,Glass wastes,43
East Dunbartonshire,2011,Glass wastes,363
North Ayrshire,2011,Glass wastes,589
Offshore,2011,Glass wastes,26
Glasgow City,2011,Glass wastes,15880
North Lanarkshire,2011,Glass wastes,2438
East Lothian,2011,Glass wastes,0
Argyll and Bute,2011,Glass wastes,493
Angus,2011,Glass wastes,3
Dumfries and Galloway,2011,Glass wastes,419
Shetland Islands,2011,Glass wastes,24
Stirling,2011,Glass wastes,74
South Lanarkshire,2011,Glass wastes,1467
Perth and Kinross,2011,Glass wastes,31
East Ayrshire,2011,Glass wastes,395
Outer Hebrides,2011,Glass wastes,169
Inverclyde,2011,Glass wastes,13
Highland,2011,Glass wastes,1093
Midlothian,2011,Glass wastes,442
Orkney Islands,2011,Glass wastes,40
Aberdeen City,2011,Glass wastes,239
