region,year,material,tonnes
Stirling,2014,Animal and mixed food waste,851
South Lanarkshire,2014,Animal and mixed food waste,2726
Perth and Kinross,2014,Animal and mixed food waste,7603
East Ayrshire,2014,Animal and mixed food waste,4481
Outer Hebrides,2014,Animal and mixed food waste,883
Inverclyde,2014,Animal and mixed food waste,879
Highland,2014,Animal and mixed food waste,981
Midlothian,2014,Animal and mixed food waste,439
Orkney Islands,2014,Animal and mixed food waste,15
Aberdeen City,2014,Animal and mixed food waste,1966
Scottish Borders,2014,Animal and mixed food waste,1763
West Dunbartonshire,2014,Animal and mixed food waste,485
Clackmannanshire,2014,Animal and mixed food waste,842
Moray,2014,Animal and mixed food waste,1042
West Lothian,2014,Animal and mixed food waste,1168
Dundee City,2014,Animal and mixed food waste,342
Unknown,2014,Animal and mixed food waste,0
Falkirk,2014,Vegetal wastes,6576
South Ayrshire,2014,Vegetal wastes,198
Aberdeenshire,2014,Vegetal wastes,73494
Renfrewshire,2014,Vegetal wastes,14594
East Renfrewshire,2014,Vegetal wastes,57
Fife,2014,Vegetal wastes,36063
City of Edinburgh,2014,Vegetal wastes,21884
East Dunbartonshire,2014,Vegetal wastes,15481
North Ayrshire,2014,Vegetal wastes,1089
Offshore,2014,Vegetal wastes,0
Glasgow City,2014,Vegetal wastes,8300
North Lanarkshire,2014,Vegetal wastes,10329
East Lothian,2014,Vegetal wastes,13397
Argyll and Bute,2014,Vegetal wastes,8519
Angus,2014,Vegetal wastes,1742
Dumfries and Galloway,2014,Vegetal wastes,5139
Shetland Islands,2014,Vegetal wastes,100
Stirling,2014,Vegetal wastes,13803
South Lanarkshire,2014,Vegetal wastes,3570
Perth and Kinross,2014,Vegetal wastes,7518
East Ayrshire,2014,Vegetal wastes,2614
Outer Hebrides,2014,Vegetal wastes,140
Inverclyde,2014,Vegetal wastes,0
Highland,2014,Vegetal wastes,75553
Midlothian,2014,Vegetal wastes,9214
Orkney Islands,2014,Vegetal wastes,23913
Aberdeen City,2014,Vegetal wastes,4213
Scottish Borders,2014,Vegetal wastes,6917
West Dunbartonshire,2014,Vegetal wastes,9307
Clackmannanshire,2014,Vegetal wastes,835
Moray,2014,Vegetal wastes,95124
West Lothian,2014,Vegetal wastes,7766
Dundee City,2014,Vegetal wastes,3178
Unknown,2014,Vegetal wastes,0
Falkirk,2014,"Animal faeces, urine and manure",25
South Ayrshire,2014,"Animal faeces, urine and manure",0
Aberdeenshire,2014,"Animal faeces, urine and manure",0
Renfrewshire,2014,"Animal faeces, urine and manure",0
East Renfrewshire,2014,"Animal faeces, urine and manure",582
Fife,2014,"Animal faeces, urine and manure",117680
City of Edinburgh,2014,"Animal faeces, urine and manure",60
East Dunbartonshire,2014,"Animal faeces, urine and manure",0
North Ayrshire,2014,"Animal faeces, urine and manure",4928
Offshore,2014,"Animal faeces, urine and manure",0
Glasgow City,2014,"Animal faeces, urine and manure",4080
North Lanarkshire,2014,"Animal faeces, urine and manure",0
East Lothian,2014,"Animal faeces, urine and manure",0
Argyll and Bute,2014,"Animal faeces, urine and manure",0
Angus,2014,"Animal faeces, urine and manure",9
Dumfries and Galloway,2014,"Animal faeces, urine and manure",60
Shetland Islands,2014,"Animal faeces, urine and manure",0
Stirling,2014,"Animal faeces, urine and manure",1
South Lanarkshire,2014,"Animal faeces, urine and manure",0
Perth and Kinross,2014,"Animal faeces, urine and manure",0
East Ayrshire,2014,"Animal faeces, urine and manure",0
Outer Hebrides,2014,"Animal faeces, urine and manure",14
Inverclyde,2014,"Animal faeces, urine and manure",0
Highland,2014,"Animal faeces, urine and manure",0
Midlothian,2014,"Animal faeces, urine and manure",0
Orkney Islands,2014,"Animal faeces, urine and manure",0
Aberdeen City,2014,"Animal faeces, urine and manure",0
Scottish Borders,2014,"Animal faeces, urine and manure",0
West Dunbartonshire,2014,"Animal faeces, urine and manure",0
Clackmannanshire,2014,"Animal faeces, urine and manure",0
Moray,2014,"Animal faeces, urine and manure",0
West Lothian,2014,"Animal faeces, urine and manure",0
Dundee City,2014,"Animal faeces, urine and manure",0
Unknown,2014,"Animal faeces, urine and manure",0
Falkirk,2014,Household and similar wastes,6305
South Ayrshire,2014,Household and similar wastes,816
Aberdeenshire,2014,Household and similar wastes,16790
Renfrewshire,2014,Household and similar wastes,4666
East Renfrewshire,2014,Household and similar wastes,2213
Fife,2014,Household and similar wastes,72900
City of Edinburgh,2014,Household and similar wastes,48459
East Dunbartonshire,2014,Household and similar wastes,268
North Ayrshire,2014,Household and similar wastes,15567
Offshore,2014,Household and similar wastes,2151
Glasgow City,2014,Household and similar wastes,114303
North Lanarkshire,2014,Household and similar wastes,33480
East Lothian,2014,Household and similar wastes,13574
Argyll and Bute,2014,Household and similar wastes,11069
Angus,2014,Household and similar wastes,16252
Dumfries and Galloway,2014,Household and similar wastes,21066
Shetland Islands,2014,Household and similar wastes,5302
Stirling,2014,Household and similar wastes,6846
South Lanarkshire,2014,Household and similar wastes,27139
Perth and Kinross,2014,Household and similar wastes,5580
East Ayrshire,2014,Household and similar wastes,6777
Outer Hebrides,2014,Household and similar wastes,5194
Inverclyde,2014,Household and similar wastes,8083
Highland,2014,Household and similar wastes,22225
Midlothian,2014,Household and similar wastes,16264
Orkney Islands,2014,Household and similar wastes,6850
Aberdeen City,2014,Household and similar wastes,38744
Scottish Borders,2014,Household and similar wastes,20458
West Dunbartonshire,2014,Household and similar wastes,2356
Clackmannanshire,2014,Household and similar wastes,1902
Moray,2014,Household and similar wastes,8022
West Lothian,2014,Household and similar wastes,18785
Dundee City,2014,Household and similar wastes,15389
Unknown,2014,Household and similar wastes,0
Falkirk,2014,Mixed and undifferentiated materials,19733
South Ayrshire,2014,Mixed and undifferentiated materials,288
Aberdeenshire,2014,Mixed and undifferentiated materials,7578
Renfrewshire,2014,Mixed and undifferentiated materials,793
East Renfrewshire,2014,Mixed and undifferentiated materials,2
Fife,2014,Mixed and undifferentiated materials,16506
City of Edinburgh,2014,Mixed and undifferentiated materials,471
East Dunbartonshire,2014,Mixed and undifferentiated materials,88
North Ayrshire,2014,Mixed and undifferentiated materials,12725
Offshore,2014,Mixed and undifferentiated materials,1743
Glasgow City,2014,Mixed and undifferentiated materials,4910
North Lanarkshire,2014,Mixed and undifferentiated materials,508
East Lothian,2014,Mixed and undifferentiated materials,2577
Argyll and Bute,2014,Mixed and undifferentiated materials,803
Angus,2014,Mixed and undifferentiated materials,122
Dumfries and Galloway,2014,Mixed and undifferentiated materials,1281
Shetland Islands,2014,Mixed and undifferentiated materials,691
Stirling,2014,Mixed and undifferentiated materials,50
South Lanarkshire,2014,Mixed and undifferentiated materials,415
Perth and Kinross,2014,Mixed and undifferentiated materials,2209
East Ayrshire,2014,Mixed and undifferentiated materials,1469
Outer Hebrides,2014,Mixed and undifferentiated materials,278
Inverclyde,2014,Mixed and undifferentiated materials,21
Highland,2014,Mixed and undifferentiated materials,738
Midlothian,2014,Mixed and undifferentiated materials,3042
Orkney Islands,2014,Mixed and undifferentiated materials,6
Aberdeen City,2014,Mixed and undifferentiated materials,5329
Scottish Borders,2014,Mixed and undifferentiated materials,738
West Dunbartonshire,2014,Mixed and undifferentiated materials,2550
Clackmannanshire,2014,Mixed and undifferentiated materials,651
Moray,2014,Mixed and undifferentiated materials,362
West Lothian,2014,Mixed and undifferentiated materials,483
Dundee City,2014,Mixed and undifferentiated materials,1666
Unknown,2014,Mixed and undifferentiated materials,0
Falkirk,2014,Sorting residues,0
South Ayrshire,2014,Sorting residues,0
Aberdeenshire,2014,Sorting residues,0
Renfrewshire,2014,Sorting residues,0
East Renfrewshire,2014,Sorting residues,0
Fife,2014,Sorting residues,0
City of Edinburgh,2014,Sorting residues,0
East Dunbartonshire,2014,Sorting residues,0
North Ayrshire,2014,Sorting residues,0
Offshore,2014,Sorting residues,60
Glasgow City,2014,Sorting residues,0
North Lanarkshire,2014,Sorting residues,0
East Lothian,2014,Sorting residues,0
Argyll and Bute,2014,Sorting residues,0
Angus,2014,Sorting residues,0
Dumfries and Galloway,2014,Sorting residues,0
Shetland Islands,2014,Sorting residues,0
Stirling,2014,Sorting residues,0
South Lanarkshire,2014,Sorting residues,0
Perth and Kinross,2014,Sorting residues,0
East Ayrshire,2014,Sorting residues,0
Outer Hebrides,2014,Sorting residues,0
Inverclyde,2014,Sorting residues,0
Highland,2014,Sorting residues,0
Midlothian,2014,Sorting residues,0
Orkney Islands,2014,Sorting residues,0
Aberdeen City,2014,Sorting residues,0
Scottish Borders,2014,Sorting residues,0
West Dunbartonshire,2014,Sorting residues,0
Clackmannanshire,2014,Sorting residues,0
Moray,2014,Sorting residues,0
West Lothian,2014,Sorting residues,0
Dundee City,2014,Sorting residues,0
Unknown,2014,Sorting residues,0
Falkirk,2014,Common sludges,10504
South Ayrshire,2014,Common sludges,8085
Aberdeenshire,2014,Common sludges,2894
Renfrewshire,2014,Common sludges,233
East Renfrewshire,2014,Common sludges,144
Fife,2014,Common sludges,4594
City of Edinburgh,2014,Common sludges,428
East Dunbartonshire,2014,Common sludges,6
North Ayrshire,2014,Common sludges,9224
Offshore,2014,Common sludges,2
Glasgow City,2014,Common sludges,10497
North Lanarkshire,2014,Common sludges,828
East Lothian,2014,Common sludges,2810
Argyll and Bute,2014,Common sludges,951
Angus,2014,Common sludges,5829
Dumfries and Galloway,2014,Common sludges,8415
Shetland Islands,2014,Common sludges,2364
Stirling,2014,Common sludges,2766
South Lanarkshire,2014,Common sludges,558
Perth and Kinross,2014,Common sludges,18794
East Ayrshire,2014,Common sludges,318
Outer Hebrides,2014,Common sludges,22
Inverclyde,2014,Common sludges,8008
Highland,2014,Common sludges,7348
Midlothian,2014,Common sludges,103
Orkney Islands,2014,Common sludges,94
Aberdeen City,2014,Common sludges,290
Scottish Borders,2014,Common sludges,1447
West Dunbartonshire,2014,Common sludges,569
Clackmannanshire,2014,Common sludges,7
Moray,2014,Common sludges,1701
West Lothian,2014,Common sludges,903
Dundee City,2014,Common sludges,12
Unknown,2014,Common sludges,0
Falkirk,2014,Mineral waste from construction and demolition,0
South Ayrshire,2014,Mineral waste from construction and demolition,0
Aberdeenshire,2014,Mineral waste from construction and demolition,0
Renfrewshire,2014,Mineral waste from construction and demolition,1
East Renfrewshire,2014,Mineral waste from construction and demolition,5
Fife,2014,Mineral waste from construction and demolition,0
City of Edinburgh,2014,Mineral waste from construction and demolition,12
East Dunbartonshire,2014,Mineral waste from construction and demolition,1
North Ayrshire,2014,Mineral waste from construction and demolition,0
Offshore,2014,Mineral waste from construction and demolition,84
Glasgow City,2014,Mineral waste from construction and demolition,19
North Lanarkshire,2014,Mineral waste from construction and demolition,104
East Lothian,2014,Mineral waste from construction and demolition,8
Argyll and Bute,2014,Mineral waste from construction and demolition,0
Angus,2014,Mineral waste from construction and demolition,0
Dumfries and Galloway,2014,Mineral waste from construction and demolition,0
Shetland Islands,2014,Mineral waste from construction and demolition,0
Stirling,2014,Mineral waste from construction and demolition,0
South Lanarkshire,2014,Mineral waste from construction and demolition,0
Perth and Kinross,2014,Mineral waste from construction and demolition,0
East Ayrshire,2014,Mineral waste from construction and demolition,0
Outer Hebrides,2014,Mineral waste from construction and demolition,0
Inverclyde,2014,Mineral waste from construction and demolition,0
Highland,2014,Mineral waste from construction and demolition,0
Midlothian,2014,Mineral waste from construction and demolition,0
Orkney Islands,2014,Mineral waste from construction and demolition,0
Aberdeen City,2014,Mineral waste from construction and demolition,0
Scottish Borders,2014,Mineral waste from construction and demolition,0
West Dunbartonshire,2014,Mineral waste from construction and demolition,0
Clackmannanshire,2014,Mineral waste from construction and demolition,0
Moray,2014,Mineral waste from construction and demolition,0
West Lothian,2014,Mineral waste from construction and demolition,101
Dundee City,2014,Mineral waste from construction and demolition,0
Unknown,2014,Mineral waste from construction and demolition,0
Falkirk,2014,Other mineral wastes,8712
South Ayrshire,2014,Other mineral wastes,14
Aberdeenshire,2014,Other mineral wastes,32842
Renfrewshire,2014,Other mineral wastes,73
East Renfrewshire,2014,Other mineral wastes,24
Fife,2014,Other mineral wastes,766
City of Edinburgh,2014,Other mineral wastes,77
East Dunbartonshire,2014,Other mineral wastes,208
North Ayrshire,2014,Other mineral wastes,315
Offshore,2014,Other mineral wastes,14762
Glasgow City,2014,Other mineral wastes,956
North Lanarkshire,2014,Other mineral wastes,5617
East Lothian,2014,Other mineral wastes,505
Argyll and Bute,2014,Other mineral wastes,1187
Angus,2014,Other mineral wastes,1578
Dumfries and Galloway,2014,Other mineral wastes,1247
Shetland Islands,2014,Other mineral wastes,220
Stirling,2014,Other mineral wastes,1485
South Lanarkshire,2014,Other mineral wastes,268
Perth and Kinross,2014,Other mineral wastes,635
East Ayrshire,2014,Other mineral wastes,16
Outer Hebrides,2014,Other mineral wastes,3566
Inverclyde,2014,Other mineral wastes,1578
Highland,2014,Other mineral wastes,1167
Midlothian,2014,Other mineral wastes,344
Orkney Islands,2014,Other mineral wastes,0
Aberdeen City,2014,Other mineral wastes,7382
Scottish Borders,2014,Other mineral wastes,6793
West Dunbartonshire,2014,Other mineral wastes,1575
Clackmannanshire,2014,Other mineral wastes,0
Moray,2014,Other mineral wastes,1566
West Lothian,2014,Other mineral wastes,2986
Dundee City,2014,Other mineral wastes,1386
Unknown,2014,Other mineral wastes,0
Falkirk,2014,Combustion wastes,1
South Ayrshire,2014,Combustion wastes,0
Aberdeenshire,2014,Combustion wastes,230
Renfrewshire,2014,Combustion wastes,0
East Renfrewshire,2014,Combustion wastes,0
Fife,2014,Combustion wastes,415599
City of Edinburgh,2014,Combustion wastes,0
East Dunbartonshire,2014,Combustion wastes,0
North Ayrshire,2014,Combustion wastes,117
Offshore,2014,Combustion wastes,1
Glasgow City,2014,Combustion wastes,5
North Lanarkshire,2014,Combustion wastes,0
East Lothian,2014,Combustion wastes,1249
Argyll and Bute,2014,Combustion wastes,0
Angus,2014,Combustion wastes,0
Dumfries and Galloway,2014,Combustion wastes,0
Shetland Islands,2014,Combustion wastes,0
Stirling,2014,Combustion wastes,1975
South Lanarkshire,2014,Combustion wastes,1
Perth and Kinross,2014,Combustion wastes,0
East Ayrshire,2014,Combustion wastes,0
Outer Hebrides,2014,Combustion wastes,0
Inverclyde,2014,Combustion wastes,0
Highland,2014,Combustion wastes,1250
Midlothian,2014,Combustion wastes,0
Orkney Islands,2014,Combustion wastes,0
Aberdeen City,2014,Combustion wastes,0
Scottish Borders,2014,Combustion wastes,0
West Dunbartonshire,2014,Combustion wastes,0
Clackmannanshire,2014,Combustion wastes,0
Moray,2014,Combustion wastes,0
West Lothian,2014,Combustion wastes,0
Dundee City,2014,Combustion wastes,1543
Unknown,2014,Combustion wastes,0
Falkirk,2014,Soils,2923
South Ayrshire,2014,Soils,5300
Aberdeenshire,2014,Soils,2804
Renfrewshire,2014,Soils,301
East Renfrewshire,2014,Soils,70
Fife,2014,Soils,5060
City of Edinburgh,2014,Soils,19000
East Dunbartonshire,2014,Soils,874
North Ayrshire,2014,Soils,10365
Offshore,2014,Soils,0
Glasgow City,2014,Soils,1879
North Lanarkshire,2014,Soils,1930
East Lothian,2014,Soils,352
Argyll and Bute,2014,Soils,299
Angus,2014,Soils,16185
Dumfries and Galloway,2014,Soils,1167
Shetland Islands,2014,Soils,997
Stirling,2014,Soils,17784
South Lanarkshire,2014,Soils,2746
Perth and Kinross,2014,Soils,938
East Ayrshire,2014,Soils,5526
Outer Hebrides,2014,Soils,440
Inverclyde,2014,Soils,857
Highland,2014,Soils,7108
Midlothian,2014,Soils,9000
Orkney Islands,2014,Soils,308
Aberdeen City,2014,Soils,2082
Scottish Borders,2014,Soils,13295
West Dunbartonshire,2014,Soils,231
Clackmannanshire,2014,Soils,264
Moray,2014,Soils,317
West Lothian,2014,Soils,5123
Dundee City,2014,Soils,2661
Unknown,2014,Soils,0
Falkirk,2014,Dredging spoils,0
South Ayrshire,2014,Dredging spoils,0
Aberdeenshire,2014,Dredging spoils,0
Renfrewshire,2014,Dredging spoils,0
East Renfrewshire,2014,Dredging spoils,0
Fife,2014,Dredging spoils,0
City of Edinburgh,2014,Dredging spoils,0
East Dunbartonshire,2014,Dredging spoils,0
North Ayrshire,2014,Dredging spoils,0
Offshore,2014,Dredging spoils,0
Glasgow City,2014,Dredging spoils,0
North Lanarkshire,2014,Dredging spoils,0
East Lothian,2014,Dredging spoils,0
Argyll and Bute,2014,Dredging spoils,0
Angus,2014,Dredging spoils,0
Dumfries and Galloway,2014,Dredging spoils,0
Shetland Islands,2014,Dredging spoils,0
Stirling,2014,Dredging spoils,0
South Lanarkshire,2014,Dredging spoils,0
Perth and Kinross,2014,Dredging spoils,0
East Ayrshire,2014,Dredging spoils,0
Outer Hebrides,2014,Dredging spoils,0
Inverclyde,2014,Dredging spoils,0
Highland,2014,Dredging spoils,0
Midlothian,2014,Dredging spoils,0
Orkney Islands,2014,Dredging spoils,0
Aberdeen City,2014,Dredging spoils,0
Scottish Borders,2014,Dredging spoils,0
West Dunbartonshire,2014,Dredging spoils,0
Clackmannanshire,2014,Dredging spoils,0
Moray,2014,Dredging spoils,0
West Lothian,2014,Dredging spoils,0
Dundee City,2014,Dredging spoils,0
Unknown,2014,Dredging spoils,0
Falkirk,2014,Mineral wastes from waste treatment and stabilised wastes,0
South Ayrshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Aberdeenshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Renfrewshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
East Renfrewshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Fife,2014,Mineral wastes from waste treatment and stabilised wastes,0
City of Edinburgh,2014,Mineral wastes from waste treatment and stabilised wastes,0
East Dunbartonshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
North Ayrshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Offshore,2014,Mineral wastes from waste treatment and stabilised wastes,0
Glasgow City,2014,Mineral wastes from waste treatment and stabilised wastes,0
North Lanarkshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
East Lothian,2014,Mineral wastes from waste treatment and stabilised wastes,0
Argyll and Bute,2014,Mineral wastes from waste treatment and stabilised wastes,0
Angus,2014,Mineral wastes from waste treatment and stabilised wastes,0
Dumfries and Galloway,2014,Mineral wastes from waste treatment and stabilised wastes,0
Shetland Islands,2014,Mineral wastes from waste treatment and stabilised wastes,0
Stirling,2014,Mineral wastes from waste treatment and stabilised wastes,0
South Lanarkshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Perth and Kinross,2014,Mineral wastes from waste treatment and stabilised wastes,0
East Ayrshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Outer Hebrides,2014,Mineral wastes from waste treatment and stabilised wastes,0
Inverclyde,2014,Mineral wastes from waste treatment and stabilised wastes,0
Highland,2014,Mineral wastes from waste treatment and stabilised wastes,0
Midlothian,2014,Mineral wastes from waste treatment and stabilised wastes,0
Orkney Islands,2014,Mineral wastes from waste treatment and stabilised wastes,0
Aberdeen City,2014,Mineral wastes from waste treatment and stabilised wastes,0
Scottish Borders,2014,Mineral wastes from waste treatment and stabilised wastes,0
West Dunbartonshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Clackmannanshire,2014,Mineral wastes from waste treatment and stabilised wastes,0
Moray,2014,Mineral wastes from waste treatment and stabilised wastes,0
West Lothian,2014,Mineral wastes from waste treatment and stabilised wastes,0
Dundee City,2014,Mineral wastes from waste treatment and stabilised wastes,0
Unknown,2014,Mineral wastes from waste treatment and stabilised wastes,0
Falkirk,2015,Spent solvents,2864
South Ayrshire,2015,Spent solvents,1
Aberdeenshire,2015,Spent solvents,1571
Renfrewshire,2015,Spent solvents,176
Orkney Islands,2015,Spent solvents,0
East Renfrewshire,2015,Spent solvents,4
Fife,2015,Spent solvents,159
City of Edinburgh,2015,Spent solvents,3089
East Dunbartonshire,2015,Spent solvents,0
North Ayrshire,2015,Spent solvents,76
Offshore,2015,Spent solvents,459
Glasgow City,2015,Spent solvents,166
North Lanarkshire,2015,Spent solvents,22
East Lothian,2015,Spent solvents,79
Unknown,2015,Spent solvents,51920
Argyll and Bute,2015,Spent solvents,18
Angus,2015,Spent solvents,583
Dumfries and Galloway,2015,Spent solvents,12
Shetland Islands,2015,Spent solvents,33
Stirling,2015,Spent solvents,20
South Lanarkshire,2015,Spent solvents,36
Perth and Kinross,2015,Spent solvents,1
East Ayrshire,2015,Spent solvents,22
Outer Hebrides,2015,Spent solvents,0
Inverclyde,2015,Spent solvents,11
Highland,2015,Spent solvents,146
Midlothian,2015,Spent solvents,2
Aberdeen City,2015,Spent solvents,3779
Scottish Borders,2015,Spent solvents,0
West Dunbartonshire,2015,Spent solvents,0
Clackmannanshire,2015,Spent solvents,0
Moray,2015,Spent solvents,0
West Lothian,2015,Spent solvents,150
Dundee City,2015,Spent solvents,22
Falkirk,2015,"Acid, alkaline or saline wastes",110
South Ayrshire,2015,"Acid, alkaline or saline wastes",23
Aberdeenshire,2015,"Acid, alkaline or saline wastes",338
Renfrewshire,2015,"Acid, alkaline or saline wastes",240
Orkney Islands,2015,"Acid, alkaline or saline wastes",0
East Renfrewshire,2015,"Acid, alkaline or saline wastes",0
Fife,2015,"Acid, alkaline or saline wastes",48
City of Edinburgh,2015,"Acid, alkaline or saline wastes",67
East Dunbartonshire,2015,"Acid, alkaline or saline wastes",0
North Ayrshire,2015,"Acid, alkaline or saline wastes",28
Offshore,2015,"Acid, alkaline or saline wastes",82
Glasgow City,2015,"Acid, alkaline or saline wastes",1067
North Lanarkshire,2015,"Acid, alkaline or saline wastes",80
East Lothian,2015,"Acid, alkaline or saline wastes",0
Unknown,2015,"Acid, alkaline or saline wastes",0
Argyll and Bute,2015,"Acid, alkaline or saline wastes",43
Angus,2015,"Acid, alkaline or saline wastes",1517
Dumfries and Galloway,2015,"Acid, alkaline or saline wastes",125
Shetland Islands,2015,"Acid, alkaline or saline wastes",30
Stirling,2015,"Acid, alkaline or saline wastes",295
South Lanarkshire,2015,"Acid, alkaline or saline wastes",84
Perth and Kinross,2015,"Acid, alkaline or saline wastes",14
East Ayrshire,2015,"Acid, alkaline or saline wastes",21
Outer Hebrides,2015,"Acid, alkaline or saline wastes",0
Inverclyde,2015,"Acid, alkaline or saline wastes",1
Highland,2015,"Acid, alkaline or saline wastes",522
Midlothian,2015,"Acid, alkaline or saline wastes",0
Aberdeen City,2015,"Acid, alkaline or saline wastes",553
Scottish Borders,2015,"Acid, alkaline or saline wastes",0
West Dunbartonshire,2015,"Acid, alkaline or saline wastes",2
Clackmannanshire,2015,"Acid, alkaline or saline wastes",17
Moray,2015,"Acid, alkaline or saline wastes",4
West Lothian,2015,"Acid, alkaline or saline wastes",228
Dundee City,2015,"Acid, alkaline or saline wastes",31
Falkirk,2015,Used oils,873
South Ayrshire,2015,Used oils,277
Aberdeenshire,2015,Used oils,12645
Renfrewshire,2015,Used oils,1521
Orkney Islands,2015,Used oils,55
East Renfrewshire,2015,Used oils,335
Fife,2015,Used oils,2037
City of Edinburgh,2015,Used oils,577
East Dunbartonshire,2015,Used oils,71
North Ayrshire,2015,Used oils,332
Offshore,2015,Used oils,1877
Glasgow City,2015,Used oils,1859
North Lanarkshire,2015,Used oils,1125
East Lothian,2015,Used oils,117
Unknown,2015,Used oils,0
Argyll and Bute,2015,Used oils,3271
Angus,2015,Used oils,1315
Dumfries and Galloway,2015,Used oils,103
Shetland Islands,2015,Used oils,1309
Stirling,2015,Used oils,311
South Lanarkshire,2015,Used oils,4191
Perth and Kinross,2015,Used oils,370
East Ayrshire,2015,Used oils,592
Outer Hebrides,2015,Used oils,72
Inverclyde,2015,Used oils,148
Highland,2015,Used oils,1740
Midlothian,2015,Used oils,37
Aberdeen City,2015,Used oils,9894
Scottish Borders,2015,Used oils,77
West Dunbartonshire,2015,Used oils,202
Clackmannanshire,2015,Used oils,98
Moray,2015,Used oils,174
West Lothian,2015,Used oils,747
Dundee City,2015,Used oils,253
Falkirk,2015,Chemical wastes,1082
South Ayrshire,2015,Chemical wastes,339
Aberdeenshire,2015,Chemical wastes,11408
Renfrewshire,2015,Chemical wastes,1767
Orkney Islands,2015,Chemical wastes,51
East Renfrewshire,2015,Chemical wastes,14
Fife,2015,Chemical wastes,3059
City of Edinburgh,2015,Chemical wastes,9519
East Dunbartonshire,2015,Chemical wastes,145
North Ayrshire,2015,Chemical wastes,826
Offshore,2015,Chemical wastes,5541
Glasgow City,2015,Chemical wastes,2320
North Lanarkshire,2015,Chemical wastes,1452
East Lothian,2015,Chemical wastes,114
Unknown,2015,Chemical wastes,30689
Argyll and Bute,2015,Chemical wastes,1745
Angus,2015,Chemical wastes,5055
Dumfries and Galloway,2015,Chemical wastes,221
Shetland Islands,2015,Chemical wastes,1106
Stirling,2015,Chemical wastes,619
South Lanarkshire,2015,Chemical wastes,889
Perth and Kinross,2015,Chemical wastes,620
East Ayrshire,2015,Chemical wastes,418
Outer Hebrides,2015,Chemical wastes,122
Inverclyde,2015,Chemical wastes,513
Highland,2015,Chemical wastes,3365
Midlothian,2015,Chemical wastes,59
Aberdeen City,2015,Chemical wastes,20628
Scottish Borders,2015,Chemical wastes,93
West Dunbartonshire,2015,Chemical wastes,761
Clackmannanshire,2015,Chemical wastes,76
Moray,2015,Chemical wastes,571
West Lothian,2015,Chemical wastes,1444
Dundee City,2015,Chemical wastes,536
Falkirk,2015,Industrial effluent sludges,1109
South Ayrshire,2015,Industrial effluent sludges,16
Aberdeenshire,2015,Industrial effluent sludges,8895
Renfrewshire,2015,Industrial effluent sludges,205
Orkney Islands,2015,Industrial effluent sludges,2
East Renfrewshire,2015,Industrial effluent sludges,28
Fife,2015,Industrial effluent sludges,46
City of Edinburgh,2015,Industrial effluent sludges,227
East Dunbartonshire,2015,Industrial effluent sludges,12
North Ayrshire,2015,Industrial effluent sludges,4023
Offshore,2015,Industrial effluent sludges,34108
Glasgow City,2015,Industrial effluent sludges,469
North Lanarkshire,2015,Industrial effluent sludges,133
East Lothian,2015,Industrial effluent sludges,68
Unknown,2015,Industrial effluent sludges,0
Argyll and Bute,2015,Industrial effluent sludges,106
Angus,2015,Industrial effluent sludges,14
Dumfries and Galloway,2015,Industrial effluent sludges,40
Shetland Islands,2015,Industrial effluent sludges,33
Stirling,2015,Industrial effluent sludges,647
South Lanarkshire,2015,Industrial effluent sludges,3584
Perth and Kinross,2015,Industrial effluent sludges,93
East Ayrshire,2015,Industrial effluent sludges,147
Outer Hebrides,2015,Industrial effluent sludges,14
Inverclyde,2015,Industrial effluent sludges,0
Highland,2015,Industrial effluent sludges,606
Midlothian,2015,Industrial effluent sludges,0
Aberdeen City,2015,Industrial effluent sludges,16268
Scottish Borders,2015,Industrial effluent sludges,3
West Dunbartonshire,2015,Industrial effluent sludges,2104
Clackmannanshire,2015,Industrial effluent sludges,0
Moray,2015,Industrial effluent sludges,64
West Lothian,2015,Industrial effluent sludges,64
Dundee City,2015,Industrial effluent sludges,14
Falkirk,2015,Sludges and liquid wastes from waste treatment,0
South Ayrshire,2015,Sludges and liquid wastes from waste treatment,0
Aberdeenshire,2015,Sludges and liquid wastes from waste treatment,0
Renfrewshire,2015,Sludges and liquid wastes from waste treatment,0
Orkney Islands,2015,Sludges and liquid wastes from waste treatment,0
East Renfrewshire,2015,Sludges and liquid wastes from waste treatment,0
Fife,2015,Sludges and liquid wastes from waste treatment,778
City of Edinburgh,2015,Sludges and liquid wastes from waste treatment,0
East Dunbartonshire,2015,Sludges and liquid wastes from waste treatment,0
North Ayrshire,2015,Sludges and liquid wastes from waste treatment,0
Offshore,2015,Sludges and liquid wastes from waste treatment,0
Glasgow City,2015,Sludges and liquid wastes from waste treatment,0
North Lanarkshire,2015,Sludges and liquid wastes from waste treatment,0
East Lothian,2015,Sludges and liquid wastes from waste treatment,0
